Angle_of_Attack,cd,cl
-5,0.08082,-0.07504
-4.5,0.072735,-0.029513
-4,0.066716,0.017439
-3.5,0.062344,0.06068
-3,0.058919,0.11064
-2.5,0.056546,0.15894
-2,0.055134,0.19809
-1.5,0.054078,0.2522
-1,0.05382,0.29985
-0.5,0.05421,0.34577
0,0.054891,0.3915
0.5,0.056622,0.437883
1,0.058443,0.482119
1.5,0.060618,0.526227
2,0.063166,0.571257
2.5,0.066106,0.613803
3,0.069468,0.659519
3.5,0.073173,0.704788
4,0.077222,0.749155
4.5,0.081609,0.792469
5,0.086353,0.835247
5.5,0.091408,0.876715
6,0.096845,0.917277
6.5,0.102763,0.956841
7,0.109144,0.996602
7.5,0.115746,1.03629
8,0.122548,1.07482
8.5,0.129799,1.112495
9,0.137506,1.149356
9.5,0.145731,1.185406
10,0.154651,1.221142
10.5,0.164325,1.255321
11,0.175161,1.286899
11.5,0.18721,1.315539
12,0.20104,1.343105
12.5,0.216471,1.373405
13,0.235748,1.324112
13.5,0.259809,1.248611
14,0.270459,1.252682
14.5,0.283943,1.269984
15,0.298085,1.283204
15.5,0.305905,1.278504
16,0.314966,1.274801
16.5,0.332335,1.2822
17,0.346728,1.304155
17.5,0.367685,1.329717
18,0.381528,1.320485
18.5,0.388553,1.286386
19,0.402193,1.244809
19.5,0.413654,1.237236
20,0.420388,1.227182
