Angle_of_Attack,cd,cl
-5,0.092633,-0.073715
-4.5,0.086932,-0.03448
-4,0.081655,0.0052297
-3.5,0.077123,0.046237
-3,0.074022,0.085922
-2.5,0.071829,0.12749
-2,0.069676,0.17535
-1.5,0.068264,0.21147
-1,0.067578,0.25888
-0.5,0.067826,0.30184
0,0.064423,0.35869
0.5,0.068915,0.393915
1,0.069904,0.43588
1.5,0.071592,0.485116
2,0.073291,0.530308
2.5,0.076005,0.582045
3,0.078606,0.62593
3.5,0.081911,0.671638
4,0.085436,0.719329
4.5,0.089115,0.757905
5,0.094793,0.808263
5.5,0.099,0.846916
6,0.104075,0.885068
6.5,0.109127,0.915937
7,0.115478,0.961403
7.5,0.121603,1.002177
8,0.128542,1.043546
8.5,0.135834,1.084297
9,0.143368,1.119558
9.5,0.151034,1.151523
10,0.160281,1.182838
10.5,0.169688,1.209391
11,0.179765,1.229492
11.5,0.191241,1.240876
12,0.204737,1.241851
12.5,0.224257,1.248316
13,0.244628,1.229879
13.5,0.259697,1.218618
14,0.272778,1.224556
14.5,0.286326,1.240815
15,0.301717,1.264613
15.5,0.312362,1.271085
16,0.320734,1.228722
16.5,0.334192,1.23469
17,0.347814,1.242988
17.5,0.368375,1.27496
18,0.389177,1.283586
18.5,0.405667,1.277986
19,0.417656,1.254837
19.5,0.426222,1.244832
20,0.441406,1.251712
