"Date","Time","Test Total Time",,
"08/17/22","12:54:54","(hh:mm:ss): 1:01:12",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"2.25 Ah","2.29 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"1","Li-poly","0.500 kg",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"2.250 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"2250mAh 1s 1C 2.25A","0.000","4.192","0.000","71.10"
"2250mAh 1s 1C 2.25A","1.000","4.157","1.359","71.20"
"2250mAh 1s 1C 2.25A","2.000","4.131","2.250","71.10"
"2250mAh 1s 1C 2.25A","3.000","4.128","2.250","71.20"
"2250mAh 1s 1C 2.25A","4.000","4.126","2.250","71.20"
"2250mAh 1s 1C 2.25A","5.000","4.125","2.250","71.20"
"2250mAh 1s 1C 2.25A","6.000","4.125","2.250","71.10"
"2250mAh 1s 1C 2.25A","7.000","4.123","2.250","71.20"
"2250mAh 1s 1C 2.25A","8.000","4.122","2.250","71.20"
"2250mAh 1s 1C 2.25A","9.000","4.121","2.250","71.10"
"2250mAh 1s 1C 2.25A","10.000","4.121","2.250","71.20"
"2250mAh 1s 1C 2.25A","11.000","4.121","2.250","71.10"
"2250mAh 1s 1C 2.25A","12.000","4.118","2.250","71.20"
"2250mAh 1s 1C 2.25A","13.000","4.118","2.250","71.10"
"2250mAh 1s 1C 2.25A","14.000","4.117","2.250","71.20"
"2250mAh 1s 1C 2.25A","15.000","4.116","2.250","71.20"
"2250mAh 1s 1C 2.25A","16.000","4.116","2.250","71.10"
"2250mAh 1s 1C 2.25A","17.000","4.116","2.250","71.20"
"2250mAh 1s 1C 2.25A","18.000","4.115","2.250","71.00"
"2250mAh 1s 1C 2.25A","19.000","4.115","2.250","71.20"
"2250mAh 1s 1C 2.25A","20.000","4.113","2.250","71.20"
