Voltage,Current,Power,Thrust
0,24.9,0,0
6.85,24.78,169.9,0
9.52,24.53,233.7,1241
12.88,24.48,315.3,1532
14.46,24.32,351.9,1955
24.01,23.86,592.3,2609
28.72,23.71,681.71,3016
31.37,23.55,738.9,3308
37.23,23.34,869,3738
45.13,23.07,1041.6,4256
59.08,22.44,1326.1,4474
65.33,22.23,1452.6,4610
74.18,21.98,1631.3,4727
78.02,21.7,1693.7,4920
77.41,21.6,1672.2,5077
76.79,21.53,1653.5,5069
83.25,21.37,1779.4,5076
83.44,21.14,1764.6,5133
81.43,21.09,1717.7,5136
78.39,21.16,1659,5175
79.75,21,1675.1,5111
79.51,20.98,1668.7,5111
79.47,20.93,1663.6,5107
81.68,20.84,1702.9,5176
80.96,20.77,1682.2,5158
82.04,20.74,1682.3,5148
83.34,20.67,1716.7,5165
82.54,20.63,1703.3,5161
79,20.68,1635.5,5118
82.26,20.63,1697.5,5135
82.53,20.6,1700.3,5125
80.76,20.61,1665.7,5136
80.27,20.58,1652.2,5119
80.35,20.58,1654,5117
79.76,20.56,1640.4,5117
80.07,20.54,1645.3,5112
80.36,20.51,1648.5,5121
80.02,20.49,1640,5112
80.05,20.47,1639.3,5107
80.34,20.44,1642.5,5114
79.83,20.4,1629.2,5105
80.05,20.37,1630.9,5190
79.59,20.35,1620.1,5076
