RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.006,0.0,0.022535728306812216
1000.0,0.006,0.1072896,0.022229813442918838
1000.0,0.006,0.2145792,0.021821926957727666
1000.0,0.006,0.3218688,0.0213120688512387
1000.0,0.006,0.42468799999999995,0.02090418236604753
1000.0,0.006,0.5319775999999999,0.020394324259558567
1000.0,0.006,0.6392671999999999,0.019884466153069602
1000.0,0.006,0.7465567999999999,0.019374608046580637
1000.0,0.006,0.8538464,0.01876277831879388
1000.0,0.006,0.961136,0.018150948591007122
1000.0,0.006,1.0684256,0.017437147241922576
1000.0,0.006,1.1757152,0.016825317514135817
1000.0,0.006,1.2785343999999998,0.016111516165051267
1000.0,0.006,1.385824,0.015295743194668924
1000.0,0.006,1.4931135999999998,0.014581941845584373
1000.0,0.005,1.6004032,0.013766168875202033
1000.0,0.005,1.7076928,0.01295039590481969
1000.0,0.005,1.8149823999999999,0.012032651313139553
1000.0,0.005,1.922272,0.011114906721459419
1000.0,0.005,2.0250912,0.010197162129779284
1000.0,0.005,2.1323808,0.009279417538099147
1000.0,0.005,2.2396704,0.008361672946419013
1000.0,0.004,2.34696,0.007341956733441083
1000.0,0.004,2.4542496000000003,0.006424212141760948
1000.0,0.004,2.5615392000000003,0.00540449592878302
1000.0,0.004,2.6688288,0.0043847797158050915
1000.0,0.004,2.7761184,0.003263091881529371
1000.0,0.004,2.8789376,0.002243375668551442
1000.0,0.003,2.9862271999999996,0.001223659455573514
1000.0,0.003,3.0935167999999997,0.00010197162129779284
2000.0,0.02,0.0,0.091060657818929
2000.0,0.02,0.21904959999999998,0.08953108349946211
2000.0,0.02,0.4336288,0.08789953755869742
2000.0,0.02,0.6526784,0.08606404837533714
2000.0,0.02,0.8672576,0.08422855919197687
2000.0,0.02,1.0863072,0.08229109838731882
2000.0,0.02,1.3008864,0.08025166596136296
2000.0,0.02,1.519936,0.07800829029281152
2000.0,0.02,1.7345152,0.07566294300296228
2000.0,0.02,1.9535648,0.07311365247051746
2000.0,0.02,2.168144,0.07046239031677484
2000.0,0.02,2.3871936,0.06770915654173444
2000.0,0.019,2.6017728,0.06475197952409845
