RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.003,0.0,0.017437147241922576
1000.0,0.003,0.0849376,0.017029260756731404
1000.0,0.003,0.1743456,0.016723345892838026
1000.0,0.003,0.2592832,0.016315459407646855
1000.0,0.003,0.3486912,0.015907572922455683
1000.0,0.003,0.4336288,0.01549968643726451
1000.0,0.003,0.5185664,0.014989828330775546
1000.0,0.003,0.6079744,0.014581941845584373
1000.0,0.003,0.692912,0.014072083739095412
1000.0,0.003,0.7778496,0.013562225632606447
1000.0,0.003,0.8672576,0.013052367526117483
1000.0,0.003,0.9521951999999999,0.012542509419628518
1000.0,0.003,1.0416032,0.011930679691841762
1000.0,0.003,1.1265408,0.011318849964055005
1000.0,0.003,1.2114784,0.010707020236268247
1000.0,0.003,1.3008864,0.01009519050848149
1000.0,0.003,1.385824,0.009483360780694733
1000.0,0.003,1.4752319999999999,0.008769559431610183
1000.0,0.003,1.5601696,0.008157729703823427
1000.0,0.003,1.6451072,0.007443928354738876
1000.0,0.003,1.7345152,0.0067301270056543275
1000.0,0.003,1.8194528,0.006016325656569776
1000.0,0.003,1.9043903999999998,0.005302524307485227
1000.0,0.002,1.9937984,0.004486751337102884
1000.0,0.002,2.078736,0.0037729499880183345
1000.0,0.002,2.168144,0.0030591486389337846
1000.0,0.002,2.2530816,0.002243375668551442
1000.0,0.002,2.3380192,0.0015295743194668923
1000.0,0.002,2.4274272,0.0008157729703823427
1000.0,0.002,2.5123648,0.0
2000.0,0.012,0.0,0.0698505605889881
2000.0,0.012,0.178816,0.068422957890819
2000.0,0.012,0.357632,0.0668933835713521
2000.0,0.012,0.5364479999999999,0.0653638092518852
2000.0,0.012,0.715264,0.06363029168982273
2000.0,0.012,0.89408,0.06189677412776025
2000.0,0.012,1.0728959999999998,0.060061284944399974
2000.0,0.012,1.251712,0.05812382413974191
2000.0,0.012,1.430528,0.05618636333508385
2000.0,0.011,1.609344,0.0540449592878302
2000.0,0.011,1.78816,0.05190355524057655
2000.0,0.011,1.966976,0.049558207950727316
2000.0,0.011,2.1457919999999997,0.047212860660878084
2000.0,0.011,2.324608,0.044765541749731054
2000.0,0.011,2.503424,0.04221625121728623
2000.0,0.01,2.68224,0.03956498906354362
2000.0,0.01,2.8565856,0.036913726909801006
2000.0,0.01,3.0354016,0.0341604931347606
2000.0,0.01,3.2142176,0.0313052877384224
2000.0,0.009,3.3930336,0.028450082342084203
2000.0,0.009,3.5718496,0.025492905324448208
2000.0,0.009,3.7506656,0.022535728306812216
2000.0,0.008,3.9294815999999995,0.01947657966787843
2000.0,0.008,4.108297599999999,0.016417431028944645
2000.0,0.007,4.2871136,0.013358282390010861
2000.0,0.007,4.4659296,0.010299133751077076
2000.0,0.007,4.6447456,0.00723998511214329
2000.0,0.006,4.8235616,0.004180836473209507
2000.0,0.006,5.0023776,0.001121687834275721
2000.0,,5.1811936,
3000.0,0.025,0.0,0.1576481265263877
3000.0,0.025,0.2637536,0.15448700626615613
3000.0,0.025,0.5275072,0.15112194276332896
3000.0,0.025,0.7867904,0.14765490763920402
3000.0,0.025,1.050544,0.14398392927248346
3000.0,0.025,1.3142976,0.14010900766316736
3000.0,0.025,1.5780512,0.13613211443255344
3000.0,0.025,1.8373344,0.13184930633804612
3000.0,0.025,2.101088,0.12746452662224103
3000.0,0.024,2.3648416,0.12287580366384036
3000.0,0.024,2.6285952,0.11808313746284409
3000.0,0.024,2.8923487999999997,0.11308652801925224
3000.0,0.024,3.1516319999999998,0.10788597533306482
3000.0,0.023,3.4153856,0.10258345102557959
3000.0,0.023,3.6791392000000003,0.09697501185420097
3000.0,0.022,3.9428928,0.09126460106152459
3000.0,0.022,4.202176,0.0853502470262526
3000.0,0.021,4.4659296,0.07933392136968283
3000.0,0.021,4.7296832,0.07321562409181524
3000.0,0.02,4.9934368,0.0668933835713521
3000.0,0.019,5.2571904,0.06046917142959114
3000.0,0.018,5.516473599999999,0.05394298766653241
3000.0,0.017,5.7802272,0.047314832282175874
3000.0,0.016,6.0439808,0.04058470527652155
3000.0,0.016,6.307734399999999,0.03385457827086722
3000.0,0.015,6.5670176,0.027124451265212894
3000.0,0.013,6.8307712,0.020292352638260774
3000.0,0.012,7.094524799999999,0.013562225632606447
3000.0,0.011,7.3582784000000006,0.00683209862695212
3000.0,0.01,7.617561599999999,0.00020394324259558568
4000.0,0.043,0.0,0.2809318166754192
4000.0,0.043,0.3531616,0.2753233775040407
4000.0,0.043,0.7018528,0.2693070518474709
4000.0,0.043,1.0550144,0.2630867829483055
4000.0,0.043,1.4081759999999999,0.25656059918524676
4000.0,0.043,1.7568672,0.24962652893699686
4000.0,0.043,2.1100288,0.24238654382485353
4000.0,0.043,2.4631904,0.2348406438488169
4000.0,0.042,2.8163519999999997,0.22698882900888684
4000.0,0.042,3.1650432,0.21872912768376562
4000.0,0.042,3.5182048,0.21016351149475102
4000.0,0.041,3.8713664,0.20129198044184304
4000.0,0.041,4.2200576,0.1920125629037439
4000.0,0.04,4.5732192000000005,0.18242723050175136
4000.0,0.039,4.9263808,0.17253598323586547
4000.0,0.038,5.275072000000001,0.1622368494847884
4000.0,0.037,5.6282336,0.15173377249111572
4000.0,0.036,5.981395200000001,0.14092478063354968
4000.0,0.035,6.3300864,0.12980987391209026
4000.0,0.034,6.683248,0.11849102394803526
4000.0,0.032,7.0364096,0.10707020236268247
4000.0,0.031,7.3851008,0.0953434659134363
4000.0,0.029,7.738262399999999,0.08361672946419012
4000.0,0.027,8.091424,0.07158407815105056
4000.0,0.026,8.4445856,0.0596533984592088
4000.0,0.024,8.793276800000001,0.04751877552477146
4000.0,0.022,9.146438400000001,0.0354861242116319
4000.0,0.02,9.4996,0.023453472898492353
4000.0,0.018,9.8482912,0.01152279320665059
4000.0,0.015,10.2014528,-0.00040788648519117136
5000.0,0.065,0.0,0.4402114891425717
5000.0,0.065,0.43809919999999997,0.4313399580896637
5000.0,0.066,0.8806688,0.42206054055156456
5000.0,0.066,1.3187680000000002,0.4122712649069764
5000.0,0.066,1.7613376,0.40197213115589936
5000.0,0.066,2.1994368,0.3911631392983333
5000.0,0.065,2.6420064,0.37984428933427833
5000.0,0.065,3.0801056,0.36801558126373435
5000.0,0.065,3.5226752,0.3556770150867014
5000.0,0.064,3.9607743999999996,0.34272661918188174
5000.0,0.064,4.3988736,0.32936833679187083
5000.0,0.063,4.8414432,0.31539822467407325
5000.0,0.062,5.2795424,0.30091825444978665
5000.0,0.061,5.722112,0.2858264544977133
5000.0,0.059,6.1602112,0.27032676806044875
5000.0,0.058,6.6027808,0.2542152518953975
5000.0,0.056,7.04088,0.23769584924515508
5000.0,0.055,7.4789792,0.22076856010972148
5000.0,0.053,7.921548799999999,0.2034333844890967
5000.0,0.051,8.359648,0.18569032238328073
5000.0,0.049,8.8022176,0.1677433170348692
5000.0,0.046,9.2403168,0.1494903968225643
5000.0,0.044,9.6828864,0.130931561746366
5000.0,0.041,10.120985600000001,0.11227075504886991
5000.0,0.038,10.5635552,0.09350797673007603
5000.0,0.035,11.0016544,0.07454125516868655
5000.0,0.032,11.4397536,0.05567650522859489
5000.0,0.029,11.882323199999998,0.036913726909801006
5000.0,0.025,12.3204224,0.018252920212304916
5000.0,0.022,12.762992,-0.0003059148638933785
6000.0,0.092,0.0,0.6358950304130361
6000.0,0.093,0.5275072,0.623148577750812
6000.0,0.093,1.0550144,0.6096883237395033
6000.0,0.093,1.5825216,0.5955142683791101
6000.0,0.093,2.1144992,0.5807283832909302
6000.0,0.093,2.6420064,0.5651267252323678
6000.0,0.093,3.1695135999999997,0.548811265824721
6000.0,0.092,3.6970207999999998,0.5316800334466919
6000.0,0.092,4.224527999999999,0.513834999719578
6000.0,0.091,4.7520352,0.4952761646433798
6000.0,0.09,5.2795424,0.4759015565967991
6000.0,0.089,5.8070496,0.4557111755798362
6000.0,0.088,6.339027199999999,0.43480699321378863
6000.0,0.086,6.8665344,0.4130870378773588
6000.0,0.084,7.3940415999999995,0.39055130957054657
6000.0,0.082,7.921548799999999,0.36740375153594756
6000.0,0.08,8.449055999999999,0.34354239215226406
6000.0,0.077,8.9765632,0.3190692030407938
6000.0,0.074,9.5040704,0.29408615582283454
6000.0,0.071,10.036048,0.2685932504983863
6000.0,0.068,10.5635552,0.24259048706744915
6000.0,0.065,11.091062399999998,0.2161798371513208
6000.0,0.061,11.618569599999999,0.18956524399259686
6000.0,0.057,12.146076800000001,0.16254276434868178
6000.0,0.053,12.673584,0.13541831308346888
6000.0,0.048,13.2010912,0.10819189019695818
6000.0,0.044,13.7330688,0.08086349568914972
6000.0,0.039,14.260575999999999,0.05373904442393682
6000.0,0.034,14.788083199999999,0.026818536401319516
6000.0,0.029,15.3155904,0.00010197162129779284
7000.0,0.124,0.0,0.8685942702145995
7000.0,0.125,0.625856,0.8508512081087833
7000.0,0.125,1.2561824,0.8320884297899895
7000.0,0.125,1.8820384,0.8124079068795155
7000.0,0.125,2.5123648,0.7917076677560636
7000.0,0.125,3.1382207999999996,0.7698857407983358
7000.0,0.125,3.7685472,0.747146069248928
7000.0,0.124,4.3944032,0.7231827382439467
7000.0,0.123,5.0247296,0.6981996910259876
7000.0,0.122,5.6505856,0.6720949559737526
7000.0,0.121,6.280912,0.6449705047085397
7000.0,0.119,6.906768,0.6166223939877532
7000.0,0.117,7.5370944,0.5872545670539889
7000.0,0.115,8.1629504,0.5568670239072466
7000.0,0.112,8.793276800000001,0.5252558213049309
7000.0,0.109,9.4191328,0.49272687411093496
7000.0,0.106,10.0494592,0.45928018232525886
7000.0,0.102,10.6753152,0.4249157459479027
7000.0,0.098,11.3056416,0.38983750822146196
7000.0,0.094,11.9314976,0.3541474407672345
7000.0,0.089,12.561824,0.31774357196392244
7000.0,0.084,13.18768,0.2809318166754192
7000.0,0.079,13.8180064,0.24361020328042704
7000.0,0.073,14.4438624,0.20588070340024373
7000.0,0.067,15.0741888,0.16804923189876259
7000.0,0.061,15.700044799999999,0.13011578877598365
7000.0,0.054,16.330371200000002,0.09228431727450251
7000.0,0.047,16.9562272,0.05465678901561696
7000.0,0.04,17.586553600000002,0.017437147241922576
7000.0,,18.2124096,
8000.0,0.161,0.0,1.1391249815176436
8000.0,0.162,0.7197344,1.1158754518617469
8000.0,0.162,1.4349984,1.0914022627502766
8000.0,0.163,2.1547328,1.065603442561935
8000.0,0.163,2.8699968,1.0383770196754243
8000.0,0.162,3.5897311999999997,1.0099269373333402
8000.0,0.162,4.3049952000000005,0.979947280671789
8000.0,0.161,5.0247296,0.9486419929333668
8000.0,0.16,5.7399936,0.9159091024967752
8000.0,0.158,6.459727999999999,0.8816466377407169
8000.0,0.157,7.1749920000000005,0.8460585419077872
8000.0,0.154,7.8947264,0.8090428433766883
8000.0,0.152,8.609990400000001,0.7704975705261227
8000.0,0.149,9.329724800000001,0.7305246949773878
8000.0,0.145,10.0494592,0.6892261883517817
8000.0,0.141,10.764723199999999,0.6465000790280065
8000.0,0.137,11.4844576,0.6026522818699557
8000.0,0.132,12.1997216,0.557682796877629
8000.0,0.127,12.919455999999998,0.5116935956723244
8000.0,0.121,13.63472,0.4648886214966375
8000.0,0.115,14.3544544,0.4171659027292705
8000.0,0.108,15.0697184,0.36883135423411667
8000.0,0.101,15.7894528,0.3198849760111761
8000.0,0.093,16.5047168,0.2705307113030444
8000.0,0.085,17.2244512,0.22097250335231705
8000.0,0.077,17.939715200000002,0.17121035215899416
8000.0,0.068,18.659449600000002,0.12165214420826685
8000.0,0.059,19.379184,0.07229787950013511
8000.0,0.05,20.094448,0.023555444519790143
8000.0,,20.8141824,
9000.0,0.203,0.0,1.4484049089138493
9000.0,0.204,0.7912608,1.4194449684652761
9000.0,0.204,1.586992,1.3889554536972362
9000.0,0.205,2.3782528000000003,1.3568343929884312
9000.0,0.205,3.1695135999999997,1.323081786338862
9000.0,0.205,3.9607743999999996,1.2875956621272302
9000.0,0.204,4.7565056000000006,1.2504779919748334
9000.0,0.203,5.5477663999999995,1.2116268042603744
9000.0,0.202,6.339027199999999,1.1710420989838528
9000.0,0.2,7.130287999999999,1.128621904523971
9000.0,0.198,7.9260192,1.0844681925020268
9000.0,0.195,8.71728,1.03858096291802
9000.0,0.192,9.5085408,0.9909602157719507
9000.0,0.188,10.2998016,0.9415039794425213
9000.0,0.184,11.095532799999999,0.8903142255510292
9000.0,0.179,11.886793599999999,0.8374929257187724
9000.0,0.173,12.678054399999999,0.7831420515670489
9000.0,0.168,13.469315199999999,0.7274655463384541
9000.0,0.161,14.2650464,0.6704634100329879
9000.0,0.154,15.0563072,0.6123395858932459
