RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.012,0.0,0.038443301229267896
1000.0,0.013,0.2324608,0.038341329607970105
1000.0,0.013,0.4649216,0.03823935798667231
1000.0,0.013,0.6973824,0.03803541474407673
1000.0,0.014,0.9298432,0.03793344312277893
1000.0,0.014,1.1667744,0.03783147150148114
1000.0,0.014,1.3992352,0.03762752825888555
1000.0,0.015,1.631696,0.037423585016289965
1000.0,0.015,1.8641568,0.03711767015239659
1000.0,0.015,2.0966176,0.03670978366720542
1000.0,0.016,2.3290783999999998,0.03619992556071645
1000.0,0.016,2.5615392000000003,0.0355880958329297
1000.0,0.016,2.794,0.03487429448384515
1000.0,0.016,3.0264607999999997,0.03385457827086722
1000.0,0.016,3.2589216,0.0327328904365915
1000.0,0.016,3.4958528,0.03140725935972019
1000.0,0.016,3.7283136,0.0298776850402533
1000.0,0.016,3.9607743999999996,0.028144167478190825
1000.0,0.015,4.1932352,0.026206706673532757
1000.0,0.015,4.425696,0.0241672742475769
1000.0,0.014,4.6581567999999995,0.02202587020032325
1000.0,0.013,4.8906176,0.01978249453177181
1000.0,0.012,5.123078400000001,0.017437147241922576
1000.0,0.011,5.3555392,0.014989828330775546
1000.0,0.01,5.588,0.012542509419628518
1000.0,0.009,5.8249312,0.01009519050848149
1000.0,0.008,6.057392,0.007647871597334462
1000.0,0.007,6.2898528,0.005098581064889642
1000.0,0.006,6.5223135999999995,0.002549290532444821
1000.0,0.004,6.7547744,0.00010197162129779284
2000.0,0.045,0.0,0.15438503464485834
2000.0,0.046,0.46939200000000003,0.15397714815966718
2000.0,0.047,0.9387840000000001,0.15356926167447602
2000.0,0.048,1.4126464,0.15326334681058262
2000.0,0.049,1.8820384,0.15275348870409367
2000.0,0.051,2.3514304,0.1522436305976047
2000.0,0.052,2.8208224,0.15163180086981795
2000.0,0.054,3.2946848,0.1507140562781378
2000.0,0.055,3.7640768,0.1495923684438621
2000.0,0.057,4.2334688,0.1480627941243952
2000.0,0.058,4.7028608,0.14612533331973712
2000.0,0.06,5.1767232,0.1436780144085901
2000.0,0.061,5.6461152000000006,0.14061886576965632
2000.0,0.061,6.1155072,0.1367439441603402
2000.0,0.062,6.5848992,0.1321552212019395
2000.0,0.061,7.0587615999999995,0.1267507252731565
2000.0,0.061,7.5281536,0.12042848475269334
2000.0,0.059,7.9975456000000005,0.11329047126184784
2000.0,0.057,8.4669376,0.10533668480061999
2000.0,0.055,8.9408,0.09697501185420097
2000.0,0.052,9.410192,0.088103480801293
2000.0,0.049,9.879584000000001,0.07892603488449165
2000.0,0.045,10.348975999999999,0.06944267410379693
2000.0,0.041,10.8228384,0.0597553700805066
2000.0,0.037,11.292230400000001,0.049966094435918484
2000.0,0.032,11.761622399999998,0.04007484717003258
2000.0,0.027,12.2310144,0.030081628282848882
2000.0,0.022,12.704876800000001,0.02008840939566519
2000.0,0.017,13.1742688,0.009993218887183698
2000.0,0.011,13.6436608,0.00010197162129779284
3000.0,0.097,0.0,0.3480291434893669
3000.0,0.099,0.7107936,0.34731534214028237
3000.0,0.101,1.4171167999999998,0.34649956916990005
3000.0,0.104,2.1279103999999998,0.3456837961995177
3000.0,0.107,2.8342335999999997,0.3447660516078375
3000.0,0.11,3.5450272,0.34364436377356183
3000.0,0.114,4.2513504,0.34221676107539273
3000.0,0.117,4.9621439999999994,0.3403812718920325
3000.0,0.121,5.668467199999999,0.33793395298088547
3000.0,0.124,6.3792608,0.3345688894780583
3000.0,0.128,7.085584,0.330286081383551
3000.0,0.13,7.7963776000000005,0.3246776422121724
3000.0,0.133,8.5027008,0.31774357196392244
3000.0,0.134,9.2134944,0.3090759841536101
3000.0,0.135,9.9198176,0.29867487878123516
3000.0,0.134,10.6306112,0.2863363126042022
3000.0,0.133,11.336934399999999,0.27195831400121345
3000.0,0.13,12.047728,0.2556428545935666
