RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.006,0.0,0.027430366129106272
1000.0,0.006,0.11176,0.02692050802261731
1000.0,0.006,0.22352,0.026410649916128345
1000.0,0.006,0.3308096,0.02590079180963938
1000.0,0.006,0.4425696,0.025390933703150414
1000.0,0.006,0.5543296,0.024779103975363658
1000.0,0.006,0.6660896,0.0241672742475769
1000.0,0.006,0.7778496,0.023453472898492353
1000.0,0.006,0.8896096,0.0227396715494078
1000.0,0.006,0.9968992,0.02202587020032325
1000.0,0.006,1.1086592,0.021210097229940907
1000.0,0.006,1.2204192,0.020394324259558567
1000.0,0.006,1.3321792,0.01947657966787843
1000.0,0.005,1.4439392,0.018558835076198293
1000.0,0.005,1.5556992,0.01764109048451816
1000.0,0.005,1.6629888000000002,0.016621374271540233
1000.0,0.005,1.7747488,0.015601658058562303
1000.0,0.005,1.8865087999999999,0.01447997022428658
1000.0,0.005,1.9982688,0.013358282390010861
1000.0,0.005,2.1100288,0.012236594555735138
1000.0,0.005,2.2173184,0.011012935100161625
1000.0,0.004,2.3290783999999998,0.009891247265885904
1000.0,0.004,2.4408384,0.008667587810312391
1000.0,0.004,2.5525984,0.007443928354738876
1000.0,0.004,2.6643584,0.006220268899165362
1000.0,0.004,2.7761184,0.004894637822294056
1000.0,0.003,2.883408,0.0036709783667205416
1000.0,0.003,2.995168,0.002447318911147028
1000.0,0.003,3.106928,0.001223659455573514
1000.0,0.003,3.218688,0.0
2000.0,0.02,0.0,0.11002737938031847
2000.0,0.021,0.22352,0.1080899185756604
2000.0,0.021,0.44704,0.10615245777100232
2000.0,0.021,0.67056,0.10401105372374869
2000.0,0.021,0.89408,0.10176767805519725
2000.0,0.021,1.1176,0.09942233076534801
2000.0,0.021,1.34112,0.09687304023290319
2000.0,0.021,1.56464,0.09411980645786279
2000.0,0.021,1.78816,0.09126460106152459
2000.0,0.021,2.01168,0.0882054524225908
2000.0,0.021,2.2352,0.08504433216235922
2000.0,0.02,2.4542496000000003,0.08167926865953207
2000.0,0.02,2.6777696,0.07811026191410932
2000.0,0.02,2.9012896,0.07443928354738877
2000.0,0.02,3.1248096,0.07056436193807264
2000.0,0.019,3.3483296,0.06648549708616093
2000.0,0.019,3.5718496,0.06230466061295142
2000.0,0.018,3.7953696,0.05802185251844411
2000.0,0.018,4.0188896,0.053535101181341235
2000.0,0.017,4.2424096,0.048946378222940554
2000.0,0.016,4.4659296,0.04425568364324209
2000.0,0.015,4.6894496,0.039463017442245826
2000.0,0.015,4.9129696,0.034568379619951774
2000.0,0.014,5.1364896,0.02967374179765771
2000.0,0.013,5.3600096,0.024677132354065864
2000.0,0.012,5.5835296,0.019680522910474018
2000.0,0.011,5.8070496,0.01478588508817996
2000.0,0.01,6.0305696,0.009789275644588112
2000.0,0.009,6.2540896,0.004894637822294056
2000.0,0.008,6.4776096,0.00010197162129779284
3000.0,0.044,0.0,0.24809695461752995
3000.0,0.044,0.3397504,0.24391611814432043
3000.0,0.044,0.6839712,0.23932739518591978
3000.0,0.045,1.0237216,0.2345347289849235
3000.0,0.045,1.3634719999999998,0.2293341762987361
3000.0,0.045,1.7076928,0.22382770874865524
3000.0,0.045,2.0474432,0.21791335471338327
3000.0,0.045,2.3871936,0.21169308581421792
3000.0,0.045,2.7269439999999996,0.2050649304298614
3000.0,0.045,3.0711648,0.19802888856031367
3000.0,0.045,3.4109152,0.1905849602055748
3000.0,0.044,3.7506656,0.18283511698694255
3000.0,0.043,4.0948864,0.17467738728311913
3000.0,0.043,4.4346368,0.16600979947280672
3000.0,0.042,4.7743872,0.15703629679860096
3000.0,0.041,5.118607999999999,0.14775687926050182
3000.0,0.04,5.458358400000001,0.1380695752372115
3000.0,0.038,5.7981088000000005,0.12797438472873
3000.0,0.037,6.1423296,0.11767525097765291
3000.0,0.035,6.48208,0.10707020236268247
3000.0,0.034,6.8218304,0.09615923888381864
3000.0,0.032,7.1660512,0.085146303783657
3000.0,0.03,7.5058016,0.0740313970621976
3000.0,0.028,7.8455520000000005,0.06271254709814258
3000.0,0.026,8.1853024,0.05139369713408758
3000.0,0.023,8.5295232,0.04007484717003258
3000.0,0.021,8.8692736,0.028654025584679787
3000.0,0.018,9.209024000000001,0.017437147241922576
3000.0,0.016,9.5532448,0.006424212141760948
3000.0,,9.8929952,
4000.0,0.076,0.0,0.44225092156852747
4000.0,0.076,0.44704,0.43480699321378863
4000.0,0.077,0.8985503999999999,0.4268532067525608
4000.0,0.077,1.3455903999999999,0.41838956218484397
4000.0,0.078,1.7971007999999997,0.4093140878893404
4000.0,0.078,2.2441408,0.3997287554873479
4000.0,0.078,2.6956512,0.3894296217362708
4000.0,0.078,3.1426912000000002,0.378518658257407
4000.0,0.078,3.5942015999999994,0.3668938934294586
4000.0,0.078,4.041241599999999,0.3546572988737235
4000.0,0.077,4.492752,0.34170690296890377
4000.0,0.076,4.939792000000001,0.32804270571499955
4000.0,0.075,5.3913024,0.31376667873330855
4000.0,0.074,5.8383424,0.298776850402533
4000.0,0.073,6.2898528,0.2830732207226729
4000.0,0.071,6.7368928,0.26675776131502604
4000.0,0.069,7.188403199999999,0.24983047217959245
4000.0,0.067,7.635443199999999,0.23229135331637207
4000.0,0.064,8.0869536,0.21424237634666274
4000.0,0.062,8.5339936,0.19568354127046445
4000.0,0.059,8.985504,0.176716819709075
4000.0,0.055,9.432544,0.15744418328379214
4000.0,0.052,9.8840544,0.1378656319946159
4000.0,0.048,10.3310944,0.11808313746284409
4000.0,0.044,10.7826048,0.0981986713097745
4000.0,0.04,11.2296448,0.0783142051567049
4000.0,0.036,11.6811552,0.05832776738233749
4000.0,0.031,12.128195199999999,0.03854527285056569
4000.0,0.027,12.5797056,0.01906869318268726
4000.0,0.022,13.0267456,-0.00020394324259558568
5000.0,0.116,0.0,0.6931011099610979
5000.0,0.117,0.5632704,0.6814763451331495
5000.0,0.118,1.1220704,0.6690358073348187
5000.0,0.119,1.6853408,0.6557794965661057
5000.0,0.119,2.2486112,0.6416054412057125
5000.0,0.12,2.8118816,0.6265136412536392
5000.0,0.12,3.3706816,0.6104021250885878
5000.0,0.12,3.933952,0.5932708927105587
5000.0,0.12,4.4972224,0.5751199441195516
5000.0,0.12,5.0604928000000005,0.5559492793155665
5000.0,0.119,5.6192928,0.5356569266773058
5000.0,0.118,6.1825632,0.5142428862047692
5000.0,0.116,6.7458336,0.4918091295192549
5000.0,0.114,7.3091040000000005,0.4682536849994646
5000.0,0.112,7.867904,0.44367852426669663
5000.0,0.109,8.4311744,0.41818561894224837
5000.0,0.106,8.9944448,0.39157102578352443
5000.0,0.102,9.557715199999999,0.3640386880331204
5000.0,0.098,10.1165152,0.335690577312334
5000.0,0.094,10.6797856,0.30652669362116525
5000.0,0.089,11.243056,0.2768529518235075
5000.0,0.084,11.8063264,0.24666935191936087
5000.0,0.079,12.3651264,0.2159758939087252
5000.0,0.073,12.9283968,0.18507849265549398
5000.0,0.067,13.4916672,0.15387517653836938
5000.0,0.06,14.0549376,0.12256988879994697
5000.0,0.053,14.613737599999999,0.09146854430412017
5000.0,0.046,15.177008,0.06046917142959114
5000.0,0.039,15.7402784,0.0298776850402533
5000.0,0.031,16.303548799999998,-0.00020394324259558568
6000.0,0.165,0.0,1.0014632927656233
6000.0,0.166,0.6839712,0.9845360036301897
6000.0,0.168,1.3679424,0.9663850550391827
6000.0,0.169,2.0519136,0.9469084753713042
6000.0,0.17,2.7358848,0.9261062646265545
6000.0,0.171,3.4198560000000002,0.9039784228049335
6000.0,0.171,4.1038272,0.8803210066638454
6000.0,0.171,4.787798400000001,0.8551340162032905
6000.0,0.171,5.4717696,0.8284174514232691
6000.0,0.17,6.155740799999999,0.8000693407024826
6000.0,0.169,6.8397120000000005,0.7701916556622292
6000.0,0.167,7.523683199999999,0.7386824246812113
6000.0,0.165,8.2076544,0.7055416477594285
6000.0,0.162,8.8916256,0.670871296518179
6000.0,0.158,9.575596800000001,0.6346713709574626
6000.0,0.154,10.259568,0.5969418710772793
6000.0,0.15,10.9435392,0.557682796877629
6000.0,0.144,11.6275104,0.5169961199798097
6000.0,0.138,12.311481599999999,0.4751877552477146
6000.0,0.132,12.9954528,0.4323596743026416
6000.0,0.124,13.679424000000001,0.38861384876588845
6000.0,0.117,14.363395200000001,0.34425619350134856
6000.0,0.108,15.047366399999998,0.2991847368877242
6000.0,0.099,15.731337599999998,0.2538073654102063
6000.0,0.09,16.4153088,0.20802210744749738
6000.0,0.08,17.09928,0.1623388211060862
6000.0,0.07,17.7832512,0.11675750638597279
6000.0,0.059,18.4672224,0.07168604977234835
6000.0,0.048,19.1467232,0.027226422886510688
6000.0,,19.8306944,
7000.0,0.222,0.0,1.3685611294376776
7000.0,0.225,0.7957312,1.3455155430243764
7000.0,0.227,1.5959328,1.3207364390490128
7000.0,0.228,2.391664,1.2943257891328843
7000.0,0.23,3.1873952,1.265977678412098
7000.0,0.231,3.9875968,1.2357940785079513
7000.0,0.231,4.783328,1.2035710461778488
7000.0,0.232,5.5790592,1.1692066098004925
7000.0,0.231,6.3792608,1.1328027409971806
7000.0,0.23,7.1749920000000005,1.0942574681466148
7000.0,0.228,7.970723199999999,1.0534688196274977
7000.0,0.226,8.7709248,1.0104367954398292
7000.0,0.223,9.566656,0.9652633672049069
7000.0,0.219,10.3623872,0.9179485349227311
7000.0,0.214,11.1625888,0.8684922985933015
7000.0,0.208,11.95832,0.8169966298379162
7000.0,0.202,12.754051200000001,0.7634615286565749
7000.0,0.194,13.5542528,0.7079889666705755
7000.0,0.186,14.349984000000001,0.6508848587438116
7000.0,0.177,15.145715200000001,0.5924551197401763
7000.0,0.167,15.945916800000001,0.5328017212809675
7000.0,0.157,16.741648,0.4721286066087808
7000.0,0.145,17.537379199999997,0.41063971896621176
7000.0,0.133,18.3375808,0.34853900159585594
7000.0,0.12,19.133312,0.28623434098290446
7000.0,0.107,19.9290432,0.22372573712735747
7000.0,0.093,20.7292448,0.16152304813570384
7000.0,0.078,21.524976,0.09993218887183697
7000.0,0.063,22.3251776,0.03925907419965024
7000.0,,23.1209088,
8000.0,0.289,0.0,1.7956182794328341
8000.0,0.292,0.8985503999999999,1.7659445376351763
8000.0,0.295,1.8015712000000002,1.734027420168967
8000.0,0.297,2.7001216,1.6998669270342066
8000.0,0.299,3.6031424000000003,1.6633610866095967
8000.0,0.3,4.5016928,1.6244079272738396
8000.0,0.301,5.4047136,1.5828035057843404
8000.0,0.301,6.3032639999999995,1.538649793762396
8000.0,0.301,7.2018144,1.4917428479654113
8000.0,0.3,8.1048352,1.4419806967720885
8000.0,0.297,9.0033856,1.389465311803725
