RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.008,0.0,0.03864724447186348
1000.0,0.008,0.1028192,0.03783147150148114
1000.0,0.008,0.2056384,0.0370156985310988
1000.0,0.008,0.3039872,0.03609795393941866
1000.0,0.008,0.4068064,0.03518020934773852
1000.0,0.008,0.5096255999999999,0.034262464756058396
1000.0,0.008,0.6124448,0.033242748543080465
1000.0,0.008,0.7107936,0.032223032330102534
1000.0,0.008,0.8136128,0.031101344495826813
1000.0,0.008,0.9164319999999999,0.029979656661551092
1000.0,0.008,1.0192511999999998,0.028755997205977574
1000.0,0.008,1.1176,0.027532337750404066
1000.0,0.007,1.2204192,0.02630867829483055
1000.0,0.007,1.3232384,0.024983047217959242
1000.0,0.007,1.4260576,0.023657416141087937
1000.0,0.007,1.5288768,0.022229813442918838
1000.0,0.007,1.6272256,0.020802210744749736
1000.0,0.007,1.7300448,0.019374608046580637
1000.0,0.007,1.8328639999999998,0.017845033727113744
1000.0,0.006,1.9356832,0.016315459407646855
1000.0,0.006,2.034032,0.01478588508817996
1000.0,0.006,2.1368512,0.013154339147415275
1000.0,0.006,2.2396704,0.01152279320665059
1000.0,0.006,2.3424896,0.009891247265885904
1000.0,0.005,2.4408384,0.00825970132512122
1000.0,0.005,2.5436576,0.006628155384356535
1000.0,0.005,2.6464768,0.004894637822294056
1000.0,0.005,2.749296,0.003263091881529371
1000.0,0.005,2.8476448,0.0015295743194668923
1000.0,0.004,2.9504639999999998,-0.00010197162129779284
2000.0,0.029,0.0,0.1549968643726451
2000.0,0.03,0.21010879999999998,0.15173377249111572
2000.0,0.029,0.41574720000000004,0.14836870898828858
2000.0,0.029,0.625856,0.14469773062156804
2000.0,0.029,0.8314944000000001,0.14092478063354968
2000.0,0.029,1.0416032,0.13704985902423358
2000.0,0.029,1.2472416,0.13286902255102406
2000.0,0.029,1.4573504,0.12858621445651675
2000.0,0.029,1.6629888000000002,0.12409946311941389
2000.0,0.028,1.8730976000000001,0.11940876853971541
2000.0,0.028,2.078736,0.11451413071742135
2000.0,0.028,2.2888448,0.10951752127382951
2000.0,0.027,2.4944832,0.10421499696634427
2000.0,0.027,2.704592,0.09881050103756125
2000.0,0.026,2.9102303999999997,0.09330403348748044
2000.0,0.026,3.1203392,0.08749165107350625
