RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.018,0.0,0.07352153895570863
1000.0,0.018,0.13411199999999998,0.07219590787883733
1000.0,0.018,0.26822399999999996,0.07066633355937042
1000.0,0.018,0.402336,0.06923873086120133
1000.0,0.018,0.5364479999999999,0.06760718492043664
1000.0,0.018,0.67056,0.06587366735837417
1000.0,0.018,0.804672,0.0640381781750139
1000.0,0.018,0.9387840000000001,0.062202688991653626
1000.0,0.018,1.0728959999999998,0.060163256565697765
1000.0,0.018,1.2114784,0.05812382413974191
1000.0,0.018,1.3455903999999999,0.055880448471190475
1000.0,0.018,1.4797024,0.053535101181341235
1000.0,0.017,1.6138143999999999,0.051189753891492
1000.0,0.017,1.7479264,0.048640463359047176
1000.0,0.017,1.8820384,0.045989201205304565
1000.0,0.016,2.0161504,0.043337939051561955
1000.0,0.016,2.1502624,0.04048273365522376
1000.0,0.016,2.2843744,0.03762752825888555
1000.0,0.015,2.4184864,0.034670351241249564
1000.0,0.015,2.5525984,0.03161120260231578
1000.0,0.014,2.6867104,0.028552053963381997
1000.0,0.014,2.8208224,0.025390933703150414
1000.0,0.013,2.9549344,0.022229813442918838
1000.0,0.012,3.0890464,0.01906869318268726
1000.0,0.012,3.2231584,0.01580560130115789
1000.0,0.011,3.3572704,0.012542509419628518
1000.0,0.01,3.4958528,0.00938138915939694
1000.0,0.009,3.6299647999999998,0.006118297277867569
1000.0,0.009,3.7640768,0.002957177017635992
1000.0,0.008,3.8981888000000002,-0.00010197162129779284
2000.0,0.064,0.0,0.29510587203581246
2000.0,0.065,0.2771648,0.2895994044857316
2000.0,0.065,0.5498592,0.28368505045045966
2000.0,0.065,0.827024,0.2774647815512943
2000.0,0.066,1.0997184,0.27083662616693777
2000.0,0.066,1.3768832,0.26380058429739006
2000.0,0.066,1.6495776,0.25635665594265117
2000.0,0.066,1.9267423999999997,0.24860681272401894
2000.0,0.065,2.1994368,0.24034711139889772
2000.0,0.065,2.4766016,0.23157755196728752
2000.0,0.065,2.749296,0.22250207767178395
2000.0,0.064,3.0264607999999997,0.21291674526979143
2000.0,0.063,3.2991552,0.20302549800390554
2000.0,0.062,3.57632,0.19252242101023284
2000.0,0.061,3.8490143999999997,0.18171342915266683
2000.0,0.059,4.1261792,0.1704965508099096
2000.0,0.058,4.3988736,0.15887178598196122
2000.0,0.056,4.6760384,0.14694110629011947
2000.0,0.054,4.9487328,0.13470451173438433
2000.0,0.052,5.2258976,0.12226397393605361
2000.0,0.049,5.5030624,0.10961949289512729
2000.0,0.047,5.7757568,0.0967710686116054
2000.0,0.044,6.0529215999999995,0.08371870108548791
2000.0,0.041,6.325616,0.07066633355937042
2000.0,0.038,6.6027808,0.05741002279065736
2000.0,0.035,6.8754752,0.04435765526453988
2000.0,0.031,7.15264,0.031203316117124607
2000.0,0.028,7.4253344,0.018252920212304916
2000.0,0.024,7.7024992,0.0056084391713786055
2000.0,,7.9751936,
3000.0,0.138,0.0,0.6663845451810761
3000.0,0.139,0.4068064,0.654147950625341
3000.0,0.14,0.8136128,0.6410955830992235
3000.0,0.141,1.2159488,0.6273294142240216
3000.0,0.141,1.6227551999999998,0.6127474723784372
