RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.036,0.0,0.1277704414861344
1000.0,0.036,0.178816,0.12593495230277416
1000.0,0.037,0.3621024,0.1237935482555205
1000.0,0.037,0.5409184,0.12165214420826685
1000.0,0.037,0.7242048,0.11920482529711983
1000.0,0.037,0.9030208,0.11665553476467498
1000.0,0.038,1.0863072,0.11380032936833681
1000.0,0.038,1.2651232000000001,0.1108431523507008
1000.0,0.038,1.4484096,0.10768203209046924
1000.0,0.038,1.6272256,0.10421499696634427
1000.0,0.037,1.810512,0.10054401859962372
1000.0,0.037,1.989328,0.0966690969903076
1000.0,0.037,2.1726144,0.09259023213839589
1000.0,0.036,2.3514304,0.0882054524225908
1000.0,0.035,2.5347168,0.08361672946419012
1000.0,0.035,2.7135328000000003,0.07872209164189607
1000.0,0.034,2.8968192,0.07372548219830422
1000.0,0.032,3.0756352,0.06852492951211679
1000.0,0.031,3.2589216,0.06322240520463156
1000.0,0.03,3.4377376,0.057715937654550735
1000.0,0.029,3.621024,0.052107498483172136
1000.0,0.027,3.79984,0.04639708769049574
1000.0,0.025,3.9831264,0.04058470527652155
1000.0,0.024,4.1619424,0.034772322862547354
1000.0,0.022,4.3452288,0.028857968827275367
1000.0,0.02,4.5240447999999995,0.022943614792003388
1000.0,0.018,4.7073312,0.017029260756731404
1000.0,0.016,4.8861472,0.011216878342757211
1000.0,0.014,5.0694336,0.00540449592878302
1000.0,0.011,5.2482496,-0.00020394324259558568
2000.0,0.134,0.0,0.5131211983704935
2000.0,0.135,0.3621024,0.505473326773159
2000.0,0.137,0.7286752,0.4972136254480379
2000.0,0.138,1.0907776,0.4882401227738321
2000.0,0.139,1.45288,0.47865479037183956
2000.0,0.14,1.8149823999999999,0.4682536849994646
2000.0,0.141,2.1815552,0.4570368066567075
2000.0,0.142,2.5436576,0.44510612696486573
2000.0,0.142,2.90576,0.4322577026813438
2000.0,0.142,3.2678624,0.4184915338061418
2000.0,0.141,3.6344352000000004,0.4038076203392596
2000.0,0.14,3.9965376,0.3882059622806973
2000.0,0.138,4.35864,0.3715845880091571
2000.0,0.136,4.7207424,0.3540454691459367
2000.0,0.133,5.0873152,0.3354866340697384
2000.0,0.13,5.449417599999999,0.3161120260231578
2000.0,0.126,5.81152,0.29592164500619483
2000.0,0.121,6.1736224,0.27501746264014726
2000.0,0.117,6.5401952,0.253501450546313
2000.0,0.111,6.9022976,0.23147558034598972
2000.0,0.105,7.2644,0.2089398520391775
2000.0,0.099,7.6265024,0.18599623724717412
2000.0,0.092,7.9930752,0.16284867921257515
2000.0,0.085,8.355177600000001,0.1393952063140828
2000.0,0.077,8.71728,0.11583976179429264
2000.0,0.069,9.0838528,0.09218234565320473
2000.0,0.06,9.4459552,0.06872887275471237
2000.0,0.052,9.8080576,0.04537737147751781
2000.0,0.043,10.17016,0.022535728306812216
2000.0,0.034,10.5367328,0.00010197162129779284
3000.0,0.291,0.0,1.1583976179429265
3000.0,0.295,0.5453888,1.1412663855648975
3000.0,0.299,1.0907776,1.1226055788674012
3000.0,0.302,1.6406368,1.102517169471736
3000.0,0.305,2.1860256,1.0807972141353062
3000.0,0.307,2.7314144000000002,1.0573437412368138
3000.0,0.309,3.2768032,1.032156750776259
3000.0,0.31,3.8221920000000003,1.0051342711323439
3000.0,0.311,4.3720512,0.9760723590624729
3000.0,0.31,4.91744,0.9449710145666461
3000.0,0.309,5.4628288000000005,0.9118302376448635
3000.0,0.306,6.0082176,0.8764460850545295
3000.0,0.303,6.5536064,0.8389205284169416
3000.0,0.298,7.1034656,0.7990496244895047
3000.0,0.292,7.648854399999999,0.7571392881361118
3000.0,0.284,8.194243199999999,0.7130875477354653
3000.0,0.275,8.739632,0.6674042613940541
3000.0,0.265,9.2894912,0.6200894291118783
3000.0,0.254,9.83488,0.571448965752831
3000.0,0.242,10.3802688,0.5215848429382104
3000.0,0.228,10.925657600000001,0.47059903228931393
3000.0,0.213,11.4710464,0.4188994202913329
3000.0,0.197,12.0209056,0.36638403532296965
3000.0,0.181,12.5662944,0.31335879224811736
3000.0,0.163,13.1116832,0.2601296059306695
3000.0,0.144,13.657072,0.20690041961322164
3000.0,0.125,14.202460799999999,0.15387517653836938
3000.0,0.104,14.75232,0.10135979157000607
3000.0,0.084,15.297708799999999,0.0497621511933229
3000.0,0.062,15.843097599999998,-0.0008157729703823427
4000.0,0.51,0.0,2.0679844799192386
4000.0,0.517,0.7376159999999999,2.037189050287305
4000.0,0.523,1.4752319999999999,2.0036403868803316
4000.0,0.53,2.212848,1.967338489698317
4000.0,0.535,2.9504639999999998,1.9281813871199645
4000.0,0.539,3.68808,1.8858631642813806
4000.0,0.543,4.425696,1.8402818495612672
4000.0,0.545,5.163312,1.7912334997170287
4000.0,0.546,5.9009279999999995,1.73851417150607
4000.0,0.545,6.638544,1.6821238649283905
4000.0,0.542,7.37616,1.6217566651200972
4000.0,0.537,8.113776,1.5574125720811898
4000.0,0.53,8.851392,1.4890915858116687
4000.0,0.521,9.589008,1.4164877914476401
4000.0,0.51,10.326624,1.3400090754742955
4000.0,0.495,11.06424,1.2599613527555282
4000.0,0.479,11.801855999999999,1.1767525097765292
4000.0,0.46,12.539472,1.0907904330224898
4000.0,0.44,13.2726176,1.0023810373573034
4000.0,0.416,14.0102336,0.9117282660235657
4000.0,0.391,14.7478496,0.8193419771277654
4000.0,0.364,15.4854656,0.7254261139124982
4000.0,0.334,16.2230816,0.6302865912416575
4000.0,0.303,16.9606976,0.5344332672217322
4000.0,0.27,17.698313600000002,0.43817205671661574
4000.0,0.235,18.4359296,0.3420128178327972
4000.0,0.199,19.1735456,0.24646540867676525
4000.0,0.162,19.9111616,0.1522436305976047
4000.0,0.123,20.6487776,0.0597553700805066
4000.0,,21.3863936,
5000.0,0.79,0.0,3.2477961383347016
5000.0,0.801,0.9119616,3.2002773628099304
5000.0,0.812,1.8239232,3.148577750811949
5000.0,0.822,2.7358848,3.092697302340759
5000.0,0.83,3.6478464,3.032330102532465
5000.0,0.837,4.559807999999999,2.9671702365231756
5000.0,0.843,5.4717696,2.896911789448996
5000.0,0.847,6.3837312,2.8212488464460344
5000.0,0.848,7.2956928,2.7401814075142887
5000.0,0.847,8.2076544,2.6531996145472716
5000.0,0.843,9.119615999999999,2.5603034675449825
5000.0,0.836,10.0315776,2.4612890232648255
5000.0,0.826,10.9435392,2.3559523384642054
5000.0,0.812,11.8555008,2.2441914415218247
5000.0,0.795,12.7674624,2.126210275680278
5000.0,0.773,13.679424000000001,2.0026206706673535
5000.0,0.748,14.5913856,1.8741364278321346
5000.0,0.72,15.5033472,1.7412674052811103
5000.0,0.688,16.4153088,1.6044214894994724
5000.0,0.652,17.3272704,1.4642105102150071
5000.0,0.613,18.239231999999998,1.3210423539129061
5000.0,0.571,19.151193600000003,1.1754268786996578
5000.0,0.526,20.0631552,1.0279759143030496
5000.0,0.477,20.975116800000002,0.8791993188295698
5000.0,0.426,21.8870784,0.7296069503857078
