RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.12,0.0,0.28786588692366916
1000.0,0.122,0.3442208,0.2867441990893934
1000.0,0.125,0.692912,0.28562251125511773
1000.0,0.128,1.0371328,0.2843988517995442
1000.0,0.131,1.3813536,0.2829712491013751
1000.0,0.135,1.7300448,0.2813397031606104
1000.0,0.138,2.0742656,0.2793002707346546
1000.0,0.142,2.4184864,0.2768529518235075
1000.0,0.145,2.7671776,0.27379380318457375
1000.0,0.149,3.1113984,0.2701228248178532
1000.0,0.152,3.4556192,0.2657380451020481
1000.0,0.154,3.8043104,0.26033354917326507
1000.0,0.156,4.1485312,0.25401130865280197
1000.0,0.158,4.4972224,0.24656738029806308
1000.0,0.158,4.8414432,0.23800176410904847
1000.0,0.157,5.185664,0.22811051684316258
1000.0,0.155,5.5343552,0.21689363850040533
1000.0,0.152,5.878576,0.20424915745947905
1000.0,0.147,6.2227968,0.19017707372038362
1000.0,0.141,6.5714879999999996,0.1749833021470125
1000.0,0.133,6.9157088,0.15887178598196122
1000.0,0.124,7.2599295999999995,0.14204646846782543
1000.0,0.115,7.6086208,0.12460932122590283
1000.0,0.104,7.952841599999999,0.10676428749878909
1000.0,0.093,8.2970624,0.08871531052907976
1000.0,0.081,8.645753599999999,0.07056436193807264
1000.0,0.069,8.9899744,0.052413413347065514
1000.0,0.056,9.3341952,0.034364436377356186
1000.0,0.042,9.6828864,0.016825317514135817
1000.0,0.029,10.0271072,-0.0003059148638933785
2000.0,0.455,0.0,1.1543187530910148
2000.0,0.465,0.692912,1.150341859860401
2000.0,0.476,1.3902944,1.1461610233871915
2000.0,0.488,2.0832064,1.141368357186195
2000.0,0.501,2.7805888,1.135963861257412
2000.0,0.515,3.4735007999999996,1.129539649115651
2000.0,0.529,4.1664128,1.121687834275721
2000.0,0.544,4.8637952,1.1121025018737287
2000.0,0.559,5.5567072,1.1002737938031846
2000.0,0.573,6.2496192,1.085793823578898
2000.0,0.586,6.947001599999999,1.068050761473082
2000.0,0.597,7.6399136,1.0466367210005456
2000.0,0.605,8.337295999999998,1.0211438156760972
2000.0,0.611,9.030208,0.9911641590145464
2000.0,0.613,9.72312,0.9564938077732968
2000.0,0.61,10.420502399999998,0.9166229038458599
2000.0,0.602,11.1134144,0.8710415891257464
2000.0,0.589,11.8107968,0.8196478919916588
2000.0,0.569,12.5037088,0.7627477273074904
2000.0,0.544,13.1966208,0.7012588396649213
2000.0,0.513,13.894003199999998,0.6360989736556317
2000.0,0.478,14.586915200000002,0.5681858738713017
2000.0,0.439,15.284297599999999,0.4980293984184202
2000.0,0.396,15.9772096,0.42644532026736964
2000.0,0.349,16.670121599999998,0.35394349752463894
2000.0,0.3,17.367504,0.28113575991801487
2000.0,0.248,18.060416,0.2086339371752841
2000.0,0.195,18.753328,0.13704985902423358
2000.0,0.14,19.4507104,0.06709732681394769
2000.0,0.085,20.1436224,-0.0005098581064889642
3000.0,1.001,0.0,2.602315775519673
3000.0,1.023,1.0416032,2.5938521309519564
