RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.064,0.0,0.20751224934100843
1000.0,0.065,0.1922272,0.20404521421688343
1000.0,0.066,0.3889248,0.20037423585016292
1000.0,0.066,0.581152,0.1964993142408468
1000.0,0.067,0.7733791999999999,0.19221650614633948
1000.0,0.067,0.9700768,0.1877297548092366
1000.0,0.067,1.162304,0.18283511698694255
1000.0,0.067,1.3590016,0.1777365359220529
1000.0,0.067,1.5512288,0.1722300683719721
1000.0,0.067,1.743456,0.16631571433670012
1000.0,0.067,1.9401536,0.16009544543753476
1000.0,0.066,2.1323808,0.15356926167447602
1000.0,0.065,2.324608,0.14673716304752388
1000.0,0.065,2.5213056,0.13959914955667838
1000.0,0.063,2.7135328000000003,0.1321552212019395
1000.0,0.062,2.9102303999999997,0.12440537798330725
1000.0,0.06,3.1024576,0.11655356314337721
1000.0,0.059,3.2946848,0.10839583343955378
1000.0,0.057,3.4913823999999996,0.10003416049313477
1000.0,0.055,3.6836096,0.09146854430412017
1000.0,0.052,3.8758368,0.08269898487250998
1000.0,0.05,4.072534399999999,0.07382745381960201
1000.0,0.047,4.2647616,0.06485395114539624
1000.0,0.044,4.4569888,0.055778476849892684
1000.0,0.04,4.6536864,0.04649905931179353
1000.0,0.037,4.8459136,0.037219641773694384
1000.0,0.033,5.0426112,0.027838252614297444
1000.0,0.029,5.2348384,0.018558835076198293
1000.0,0.025,5.427065600000001,0.009177445916801355
1000.0,0.021,5.6237632,-0.00010197162129779284
2000.0,0.233,0.0,0.8341278622159454
2000.0,0.236,0.3889248,0.820463664962041
2000.0,0.239,0.7778496,0.805779751495159
2000.0,0.241,1.1667744,0.7899741501940011
2000.0,0.243,1.5556992,0.7730468610585675
2000.0,0.245,1.9490944000000001,0.7548959124675603
2000.0,0.246,2.3380192,0.7354193327996819
2000.0,0.246,2.7269439999999996,0.71471909367623
2000.0,0.247,3.1158688,0.6925912518546089
2000.0,0.246,3.5047935999999997,0.6690358073348187
2000.0,0.245,3.8937184000000005,0.6440527601168595
2000.0,0.243,4.2826432,0.6176421102007312
2000.0,0.24,4.671568,0.5900078008290293
2000.0,0.236,5.0649632,0.561149832001754
2000.0,0.231,5.453887999999999,0.5312721469615006
2000.0,0.226,5.8428128,0.5002727740869716
2000.0,0.22,6.2317376,0.4682536849994646
2000.0,0.213,6.6206624000000005,0.43541882294157536
2000.0,0.205,7.0095871999999995,0.40187015953460153
2000.0,0.196,7.398512,0.3675057231572454
2000.0,0.186,7.787436800000001,0.3324274854308046
2000.0,0.175,8.180832,0.29673741797657716
2000.0,0.163,8.5697568,0.2605374924158607
2000.0,0.151,8.9586816,0.22392968036995306
2000.0,0.137,9.3476064,0.18691398183885424
2000.0,0.123,9.7365312,0.1495923684438621
2000.0,0.107,10.125456,0.11216878342757212
2000.0,0.091,10.5143808,0.07474519841128215
2000.0,0.074,10.9033056,0.037423585016289965
2000.0,0.056,11.292230400000001,0.00020394324259558568
3000.0,0.503,0.0,1.8868828804943587
3000.0,0.51,0.5856224,1.8561894224837228
3000.0,0.516,1.1712448,1.8230486455619401
3000.0,0.522,1.7568672,1.7874605497290106
3000.0,0.527,2.3424896,1.7492211917423381
3000.0,0.531,2.928112,1.7082285999806255
3000.0,0.533,3.5137344,1.6642788312012768
3000.0,0.535,4.0993568,1.6173718854042922
3000.0,0.536,4.6849792,1.5673038193470756
3000.0,0.534,5.270601599999999,1.5139726614083302
3000.0,0.532,5.856224,1.4574803832093528
3000.0,0.527,6.4418464,1.397826984750144
3000.0,0.521,7.0274688,1.3351144376520014
3000.0,0.512,7.6130912,1.2697506284001163
