RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.083,0.0,0.23932739518591978
1000.0,0.085,0.2637536,0.23779782086645287
1000.0,0.087,0.5230368,0.2359623316830926
1000.0,0.089,0.7867904,0.23382092763583898
1000.0,0.091,1.0460736,0.23127163710339413
1000.0,0.092,1.3098272,0.22821248846446035
1000.0,0.094,1.5691103999999998,0.22454151009773982
1000.0,0.095,1.8328639999999998,0.2201567303819347
1000.0,0.095,2.0921472,0.2149561776957473
1000.0,0.096,2.3559007999999997,0.20904182366047527
1000.0,0.095,2.6151839999999997,0.2022097250335232
1000.0,0.095,2.8789376,0.1947657966787843
1000.0,0.093,3.1382207999999996,0.18650609535366308
1000.0,0.092,3.4019744000000003,0.1777365359220529
1000.0,0.09,3.6612576,0.16835514676265598
1000.0,0.087,3.9250111999999997,0.15856587111806786
1000.0,0.084,4.1842944,0.14836870898828858
1000.0,0.081,4.448048,0.1377636603733181
1000.0,0.077,4.7073312,0.1267507252731565
1000.0,0.073,4.9710848,0.11553384693039928
1000.0,0.068,5.2303679999999995,0.10411302534504648
1000.0,0.063,5.4941216,0.0923862888958003
1000.0,0.058,5.753404799999999,0.08055758082525634
1000.0,0.053,6.0171584000000005,0.06862690113341458
1000.0,0.047,6.276441599999999,0.05649227819897723
1000.0,0.041,6.5401952,0.044459626885837676
1000.0,0.035,6.7994784,0.03242697557269812
1000.0,0.028,7.063232,0.02049629588085636
1000.0,0.021,7.3269856,0.008565616189014599
1000.0,,7.586268799999999,
2000.0,0.308,0.0,0.9603687293826128
2000.0,0.315,0.5185664,0.9544543753473408
2000.0,0.323,1.0371328,0.9475203050990909
2000.0,0.331,1.5556992,0.9392606037739698
2000.0,0.339,2.0742656,0.9294713281293817
2000.0,0.346,2.592832,0.9175406484375398
2000.0,0.353,3.1113984,0.9033665930771467
2000.0,0.358,3.6299647999999998,0.8862353606991176
2000.0,0.362,4.1485312,0.8660449796821545
2000.0,0.365,4.671568,0.8426934784049599
2000.0,0.365,5.1901344,0.8160788852462361
2000.0,0.363,5.7087008,0.7865071150698761
2000.0,0.36,6.2272672,0.7541821111184758
2000.0,0.354,6.7458336,0.7194097882559284
2000.0,0.347,7.2644,0.6823940897248296
2000.0,0.338,7.7829664,0.6435429020103706
2000.0,0.327,8.3015328,0.6030601683551468
