RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.089,0.0,0.2487087843453167
1000.0,0.091,0.2861056,0.2472811816471476
1000.0,0.093,0.5722112,0.24554766408508513
1000.0,0.095,0.8583168,0.24361020328042704
1000.0,0.097,1.1399519999999999,0.24126485599057784
1000.0,0.1,1.4260576,0.23851162221553743
1000.0,0.102,1.7121632,0.23524853033400805
1000.0,0.103,1.9982688,0.23127163710339413
1000.0,0.105,2.2843744,0.22658094252369568
1000.0,0.106,2.57048,0.22107447497361488
1000.0,0.106,2.8521152,0.2146502628318539
1000.0,0.106,3.1382207999999996,0.2073083060984128
1000.0,0.105,3.4243264,0.1991505763945894
1000.0,0.104,3.7104320000000004,0.19017707372038362
1000.0,0.102,3.9965376,0.18048976969709332
1000.0,0.1,4.2826432,0.170292607567314
1000.0,0.097,4.5642784,0.159483615709748
1000.0,0.093,4.850384,0.14816476574569298
1000.0,0.089,5.1364896,0.1365400009177446
1000.0,0.084,5.4225952,0.12450734960460505
1000.0,0.079,5.7087008,0.11206681180627431
1000.0,0.073,5.9948064,0.09942233076534801
1000.0,0.067,6.276441599999999,0.08657390648182611
1000.0,0.06,6.5625472,0.07352153895570863
1000.0,0.053,6.8486528,0.06026522818699556
1000.0,0.045,7.1347584,0.046906945796984706
1000.0,0.037,7.420864000000001,0.03344669178567605
1000.0,0.029,7.706969599999999,0.019986437774367396
1000.0,0.019,7.9886048,0.006322240520463155
1000.0,,8.2747104,
2000.0,0.334,0.0,0.9976903427776052
2000.0,0.342,0.5632704,0.9921838752275243
2000.0,0.352,1.1310111999999999,0.9857596630857632
2000.0,0.361,1.6942816,0.9782137631097266
2000.0,0.37,2.2620223999999998,0.9693422320568187
2000.0,0.38,2.8252928,0.9586352118205503
2000.0,0.388,3.3885632,0.9458887591583263
2000.0,0.396,3.956304,0.9306949875849553
2000.0,0.403,4.5195744,0.912544038993948
2000.0,0.407,5.0873152,0.8910280269001137
2000.0,0.41,5.6505856,0.8659430080608568
2000.0,0.411,6.213856,0.8373909540974747
2000.0,0.409,6.7815968,0.8053718650099677
2000.0,0.405,7.3448671999999995,0.7701916556622292
2000.0,0.398,7.908137600000001,0.7322582125394503
2000.0,0.39,8.475878400000001,0.6918774505055244
2000.0,0.378,9.0391488,0.6493552844243448
2000.0,0.365,9.606889599999999,0.6048956575385072
2000.0,0.349,10.17016,0.5587025130906069
2000.0,0.331,10.733430400000001,0.5111837375658355
2000.0,0.311,11.3011712,0.46233933096419266
2000.0,0.289,11.8644416,0.4123732365282742
2000.0,0.265,12.432182399999999,0.3614893975006756
2000.0,0.239,12.9954528,0.3098917571239924
2000.0,0.211,13.5587232,0.2574783437769269
2000.0,0.18,14.126464,0.2046570439446702
2000.0,0.148,14.689734399999999,0.15152982924852015
2000.0,0.114,15.2574752,0.0981986713097745
2000.0,0.079,15.8207456,0.04466357012843326
2000.0,,16.384016,
3000.0,0.731,0.0,2.2509215685274793
3000.0,0.751,0.8449055999999999,2.2389908888356373
3000.0,0.773,1.6942816,2.2251227483391376
3000.0,0.794,2.5391871999999998,2.208705317310193
3000.0,0.816,3.3885632,2.1892287376423143
3000.0,0.838,4.2334688,2.1658772363651195
3000.0,0.858,5.082844799999999,2.1378350405082265
3000.0,0.876,5.9277504,2.1040824338586575
3000.0,0.892,6.7771264,2.063803643446029
3000.0,0.904,7.622032,2.015876981436066
3000.0,0.912,8.471408,1.959996532964876
3000.0,0.914,9.316313599999999,1.8958563831685642
3000.0,0.911,10.165689599999999,1.8239663901536205
3000.0,0.903,11.0105952,1.7449383836478307
3000.0,0.889,11.8599712,1.6594861650002806
3000.0,0.87,12.704876800000001,1.5684255071813515
3000.0,0.845,13.5542528,1.4724702115401285
3000.0,0.816,14.399158400000001,1.3721301361831002
3000.0,0.781,15.248534399999999,1.2681190824593516
3000.0,0.741,16.09344,1.1607429652327756
3000.0,0.696,16.942816,1.050409670988564
3000.0,0.646,17.787721599999998,0.9377310294545028
3000.0,0.592,18.637097599999997,0.8228090122518904
3000.0,0.532,19.482003199999998,0.7060515058659176
3000.0,0.468,20.331379199999997,0.5878663967817757
3000.0,0.4,21.176284799999998,0.46866157148465587
3000.0,0.327,22.0256608,0.3486409732171537
3000.0,0.25,22.870566399999998,0.22821248846446035
3000.0,0.169,23.7199424,0.10758006046917143
3000.0,,24.564848,
4000.0,1.283,0.0,4.0142148440089125
4000.0,1.32,1.1265408,3.9941264346132472
4000.0,1.358,2.257552,3.9705709900934574
4000.0,1.398,3.3840928,3.94273273747916
4000.0,1.438,4.515104,3.909489988936079
4000.0,1.477,5.6416448,3.8694151417660465
4000.0,1.514,6.7726560000000005,3.821080593270893
4000.0,1.549,7.8991968,3.7626508542672576
4000.0,1.578,9.025737600000001,3.6922904355717807
