RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.126,0.0,0.2757312639892318
1000.0,0.128,0.3755136,0.27501746264014726
1000.0,0.13,0.7510272,0.2743036612910627
1000.0,0.133,1.1265408,0.2734878883206804
1000.0,0.137,1.5020544,0.272672115350298
1000.0,0.14,1.8775680000000001,0.2717543707586179
1000.0,0.144,2.2530816,0.2705307113030444
1000.0,0.148,2.6285952,0.26900113698357747
1000.0,0.152,3.0041088,0.26706367617891946
1000.0,0.156,3.3796223999999997,0.2645143856464746
1000.0,0.16,3.7551360000000003,0.2612512937649452
1000.0,0.163,4.1306496,0.2570704572917357
1000.0,0.166,4.5061632,0.2519718762268461
1000.0,0.168,4.8816768,0.2456496357063829
1000.0,0.169,5.2571904,0.23810373573034627
1000.0,0.169,5.6327039999999995,0.22913023305614047
1000.0,0.168,6.0082176,0.21862715606246785
1000.0,0.164,6.3837312,0.20639056150673268
1000.0,0.159,6.759244799999999,0.19272636425282844
1000.0,0.153,7.1347584,0.1776345643007551
1000.0,0.145,7.5102720000000005,0.16152304813570384
1000.0,0.135,7.8857856,0.14449378737897245
1000.0,0.125,8.2612992,0.12695466851575207
1000.0,0.113,8.6368128,0.10880371992474494
1000.0,0.1,9.0123264,0.09044882809114224
1000.0,0.087,9.38784,0.07199196463624173
1000.0,0.073,9.7633536,0.053433129560043445
1000.0,0.059,10.1388672,0.03518020934773852
1000.0,0.044,10.5143808,0.017233203999326988
1000.0,0.029,10.8898944,-0.00010197162129779284
2000.0,0.48,0.0,1.1056782897319677
2000.0,0.488,0.7554976,1.1029250559569272
2000.0,0.499,1.5109952,1.1002737938031846
2000.0,0.51,2.2664928,1.0975205600281441
2000.0,0.524,3.0175199999999998,1.0944614113892106
2000.0,0.538,3.7730175999999997,1.0908924046437878
2000.0,0.554,4.5285152,1.0864056533066848
2000.0,0.57,5.2840128,1.0805932708927106
2000.0,0.587,6.0395104,1.073047370916674
2000.0,0.604,6.795007999999999,1.0630541520294903
2000.0,0.619,7.5505056,1.0501037561246707
2000.0,0.634,8.3015328,1.033584353474428
2000.0,0.646,9.0570304,1.0128841143509761
2000.0,0.655,9.812528,0.9874931806478257
2000.0,0.66,10.5680256,0.9569016942584879
2000.0,0.66,11.323523199999999,0.9204978254551758
2000.0,0.654,12.0790208,0.8777717161314007
2000.0,0.64,12.8345184,0.8282135081806734
2000.0,0.62,13.5855456,0.7724350313307807
2000.0,0.593,14.3410432,0.7112520585521049
2000.0,0.56,15.096540800000001,0.6459902209215176
2000.0,0.522,15.8520384,0.5774652914094008
2000.0,0.478,16.607536,0.5063910713648392
2000.0,0.43,17.3630336,0.43368530537951294
2000.0,0.379,18.1185312,0.35995982318120867
2000.0,0.324,18.8695584,0.2857244828764155
2000.0,0.266,19.625056,0.21189702905681349
2000.0,0.207,20.380553600000002,0.13908929145018942
2000.0,0.146,21.1360512,0.06791309978433002
2000.0,0.084,21.8915488,-0.0007138013490845498
3000.0,1.058,0.0,2.4917785380328654
3000.0,1.078,1.1354816,2.486068127240189
3000.0,1.102,2.2664928,2.4804596880688106
3000.0,1.128,3.4019744000000003,2.474749277276134
3000.0,1.158,4.537456,2.468427036755671
3000.0,1.191,5.6729376,2.4609831084009324
3000.0,1.227,6.803948800000001,2.4516017192415354
3000.0,1.264,7.939430400000001,2.439161181443205
3000.0,1.303,9.074912,2.4228457220355577
3000.0,1.341,10.2103936,2.4010237950778297
3000.0,1.378,11.3414048,2.3725737127357456
3000.0,1.411,12.4768864,2.335965900689838
3000.0,1.439,13.612368,2.2898747278632356
3000.0,1.46,14.7478496,2.2330765348003654
3000.0,1.472,15.878860800000002,2.1643476620456528
3000.0,1.472,17.0143424,2.0824644501435254
3000.0,1.459,18.149824,1.9856933815319198
3000.0,1.43,19.2853056,1.8736265697256453
3000.0,1.384,20.4163168,1.7471817593163823
3000.0,1.323,21.5517984,1.6087042975939796
3000.0,1.248,22.68728,1.4607434750908823
3000.0,1.16,23.8227616,1.305338724233046
3000.0,1.061,24.9537728,1.1446314490677245
3000.0,0.952,26.089254399999998,0.979947280671789
3000.0,0.834,27.224736,0.8131217082286001
3000.0,0.708,28.3602176,0.6455823344363264
3000.0,0.576,29.4912288,0.4787567619931374
3000.0,0.439,30.6267104,0.31437850846109533
3000.0,0.3,31.762192,0.15418109140226277
3000.0,0.159,32.8932032,-0.0003059148638933785
4000.0,1.865,0.0,4.436581299424371
4000.0,1.901,1.5154656,4.4270979386436755
4000.0,1.942,3.0309312,4.417920492726875
4000.0,1.99,4.5419264,4.408743046810073
4000.0,2.043,6.057392,4.398647856301592
4000.0,2.102,7.572857600000001,4.386615204988452
4000.0,2.166,9.0883232,4.371319461793783
4000.0,2.234,10.5993184,4.350925137534224
4000.0,2.304,12.114784,4.323392799783821
4000.0,2.373,13.630249599999999,4.28647907287402
4000.0,2.44,15.145715200000001,4.237532694651079
4000.0,2.5,16.656710399999998,4.1740043745825535
4000.0,2.552,18.172176,4.093446793757297
4000.0,2.591,19.6876416,3.99351460488546
4000.0,2.613,21.203107199999998,3.8719644322984914
