RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.084,0.0,0.26257692484181655
1000.0,0.085,0.1966976,0.2579882018834158
1000.0,0.085,0.3933952,0.2530935640611218
1000.0,0.086,0.5900928,0.2477910397536366
1000.0,0.087,0.7867904,0.24228457220355576
1000.0,0.087,0.9879584,0.236268246546986
1000.0,0.087,1.184656,0.22994600602652282
1000.0,0.087,1.3813536,0.2232158790208685
1000.0,0.087,1.5780512,0.21607786553002303
1000.0,0.087,1.7747488,0.20853196555398634
1000.0,0.086,1.9714464,0.20057817909275852
1000.0,0.085,2.168144,0.19221650614633948
1000.0,0.084,2.3648416,0.1835489183360271
1000.0,0.083,2.5615392000000003,0.17447344404052353
1000.0,0.082,2.7627072,0.1650920548811266
1000.0,0.08,2.9594048,0.15540475085783628
1000.0,0.078,3.1561024,0.14551350359195037
1000.0,0.076,3.3528,0.13531634146217109
1000.0,0.073,3.5494976,0.12481326446849843
1000.0,0.07,3.7461952000000003,0.11410624423223018
1000.0,0.067,3.9428928,0.10329725237466413
1000.0,0.064,4.1395903999999994,0.09218234565320473
1000.0,0.06,4.3407584,0.08096546731044751
1000.0,0.057,4.537456,0.06954464572509471
1000.0,0.052,4.7341536,0.05802185251844411
1000.0,0.048,4.930851199999999,0.04639708769049574
1000.0,0.043,5.1275488000000005,0.034772322862547354
1000.0,0.038,5.3242464,0.02304558641330118
1000.0,0.033,5.520944,0.011420821585352797
1000.0,0.028,5.717641599999999,-0.00020394324259558568
2000.0,0.304,0.0,1.0558141669173469
2000.0,0.307,0.3978656,1.0374592750837441
2000.0,0.31,0.7912608,1.017880723794568
2000.0,0.313,1.1891264000000001,0.9969765414285204
2000.0,0.315,1.5825216,0.9745427847430062
2000.0,0.317,1.9803871999999998,0.9505794537380247
2000.0,0.318,2.3782528000000003,0.9251885200348744
2000.0,0.319,2.771648,0.8980640687696615
2000.0,0.318,3.1695135999999997,0.8694100431849816
2000.0,0.317,3.5629087999999998,0.8390225000382394
