RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.098,0.0,0.3006123395858933
1000.0,0.099,0.2369312,0.29643150311268374
1000.0,0.101,0.4738624,0.2919447517755809
1000.0,0.102,0.7063232,0.286948142331989
1000.0,0.103,0.9432543999999999,0.281543646403206
1000.0,0.104,1.1801856,0.2757312639892318
1000.0,0.105,1.4171167999999998,0.2693070518474709
1000.0,0.106,1.6495776,0.26237298159922096
1000.0,0.106,1.8865087999999999,0.25492905324448206
1000.0,0.106,2.12344,0.2468732951619564
1000.0,0.106,2.3603712,0.23830767897294186
1000.0,0.106,2.592832,0.22913023305614047
1000.0,0.105,2.8297632,0.21934095741155235
1000.0,0.103,3.0666944000000003,0.2089398520391775
1000.0,0.101,3.3036255999999997,0.1979269169390159
1000.0,0.099,3.5360864,0.18650609535366308
1000.0,0.096,3.7730175999999997,0.17447344404052353
1000.0,0.093,4.0099488,0.1621348778634906
1000.0,0.09,4.24688,0.1493884252012665
1000.0,0.086,4.4793408,0.136336057675149
1000.0,0.082,4.716272,0.12297777528513815
1000.0,0.077,4.9532032,0.10951752127382951
1000.0,0.072,5.1901344,0.09585332401992526
1000.0,0.066,5.4225952,0.08198518352342545
1000.0,0.061,5.6595264,0.06811704302692562
1000.0,0.054,5.8964576,0.05424890253042579
1000.0,0.048,6.1333888000000005,0.04048273365522376
1000.0,0.041,6.3658496,0.026716564780021722
1000.0,0.035,6.6027808,0.01325631076871307
1000.0,0.028,6.8397120000000005,0.00010197162129779284
2000.0,0.366,0.0,1.2074459677871647
2000.0,0.372,0.4738624,1.1909265651369225
2000.0,0.378,0.9477248,1.1727756165459153
2000.0,0.384,1.4215872,1.1529931220141436
2000.0,0.389,1.8954496,1.1313751382990116
2000.0,0.394,2.369312,1.1078196937792213
2000.0,0.398,2.8431744,1.0822248168334752
2000.0,0.401,3.3170368,1.0543865642191779
2000.0,0.403,3.7908992,1.0244069075576268
2000.0,0.403,4.260291199999999,0.9920819036062264
2000.0,0.403,4.7341536,0.9573095807436791
2000.0,0.401,5.208016,0.9201919105912824
2000.0,0.397,5.6818784,0.8807288931490367
2000.0,0.392,6.155740799999999,0.8389205284169416
2000.0,0.385,6.6296032,0.7946648447736996
2000.0,0.376,7.1034656,0.7481657854619059
2000.0,0.365,7.577328,0.69993320858805
2000.0,0.352,8.051190400000001,0.6499671141521315
2000.0,0.338,8.5250528,0.5986753886393418
2000.0,0.322,8.998915199999999,0.5460580320496806
2000.0,0.304,9.4727776,0.49242095924704155
2000.0,0.284,9.94664,0.43807008509531803
2000.0,0.263,10.420502399999998,0.3829034379732121
2000.0,0.241,10.8943648,0.32743087598721277
2000.0,0.217,11.3682272,0.2717543707586179
2000.0,0.191,11.8420896,0.21607786553002303
2000.0,0.165,12.311481599999999,0.1606053035440237
2000.0,0.137,12.785344,0.10584654290710896
2000.0,0.108,13.2592064,0.05190355524057655
2000.0,0.079,13.7330688,-0.0009177445916801354
3000.0,0.801,0.0,2.730290160248403
3000.0,0.815,0.7107936,2.693376433338602
3000.0,0.829,1.4215872,2.652893699683378
3000.0,0.843,2.1323808,2.6084340727975404
3000.0,0.855,2.8431744,2.559895581059791
3000.0,0.866,3.5539680000000002,2.506870337984939
3000.0,0.876,4.2647616,2.449256371951686
3000.0,0.883,4.9755552000000005,2.3866457964748413
3000.0,0.888,5.6863488,2.318936639933107
3000.0,0.89,6.3971424,2.245924959083887
3000.0,0.889,7.1079360000000005,2.1676107539271823
3000.0,0.884,7.8232,2.083790081220396
3000.0,0.876,8.5339936,1.9945649125848277
3000.0,0.864,9.2447872,1.8998332763991783
3000.0,0.848,9.9555808,1.7996971442847458
3000.0,0.828,10.666374399999999,1.694564402726721
3000.0,0.803,11.377168,1.5852508246954873
3000.0,0.775,12.0879616,1.472164296676235
3000.0,0.742,12.798755199999999,1.3559166483967513
3000.0,0.705,13.5095488,1.2369157663422272
3000.0,0.664,14.2203424,1.1154675653765558
3000.0,0.62,14.931135999999999,0.992285846848822
3000.0,0.572,15.641929600000001,0.8675745540016213
3000.0,0.52,16.3527232,0.7418435449414429
3000.0,0.464,17.063516800000002,0.6157046493960732
3000.0,0.406,17.774310399999997,0.489769697093299
3000.0,0.345,18.485104,0.3644465745183116
3000.0,0.281,19.1958976,0.2404490830201955
3000.0,0.215,19.9066912,0.11859299556933306
3000.0,0.147,20.6174848,-0.0008157729703823427
4000.0,1.407,0.0,4.885868262862446
4000.0,1.434,0.9477248,4.820708396853156
4000.0,1.46,1.8954496,4.749022347080808
4000.0,1.484,2.8431744,4.670504198681507
4000.0,1.507,3.7908992,4.58444015030617
4000.0,1.527,4.738624,4.490422315469605
4000.0,1.545,5.6908192,4.387940836065323
4000.0,1.558,6.638544,4.276587825608133
4000.0,1.567,7.586268799999999,4.1560573692341425
4000.0,1.571,8.5339936,4.025941580458159
4000.0,1.57,9.4817184,3.886036516037587
4000.0,1.562,10.4294432,3.736342175972427
4000.0,1.548,11.377168,3.576858560262679
4000.0,1.527,12.3248928,3.407483697287045
4000.0,1.498,13.2726176,3.228319558666823
4000.0,1.462,14.2203424,3.0401819173723954
4000.0,1.417,15.172537599999998,2.8442944328593356
4000.0,1.366,16.1202624,2.6416768213406208
4000.0,1.307,17.0679872,2.4332468274079324
4000.0,1.24,18.015711999999997,2.219820224031652
4000.0,1.167,18.9634368,2.0022127841821624
4000.0,1.086,19.9111616,1.7810363375872498
4000.0,0.999,20.8588864,1.5574125720811898
4000.0,0.905,21.8066112,1.33195331739177
4000.0,0.805,22.754336,1.1056782897319677
4000.0,0.699,23.7020608,0.8795052336934631
4000.0,0.587,24.654256,0.6547597803531278
4000.0,0.471,25.6019808,0.4323596743026416
4000.0,0.352,26.5497056,0.21383448986147155
4000.0,0.229,27.4974304,-0.00040788648519117136
5000.0,2.195,0.0,7.698449521498167
5000.0,2.238,1.184656,7.597701559655948
5000.0,2.279,2.369312,7.486552492441355
5000.0,2.319,3.5584384,7.364492461747896
5000.0,2.355,4.7430943999999995,7.230603722983894
5000.0,2.388,5.9277504,7.084070503178966
5000.0,2.416,7.1124064,6.924179000984027
5000.0,2.437,8.2970624,6.750011471807396
5000.0,2.452,9.486188799999999,6.561160029163885
5000.0,2.459,10.670844800000001,6.357114814947001
5000.0,2.457,11.8555008,6.137467942671555
5000.0,2.446,13.0401568,5.902117440716249
5000.0,2.424,14.2248128,5.65116528070238
5000.0,2.39,15.409468799999999,5.384407519387355
5000.0,2.345,16.598595200000002,5.101946128392469
5000.0,2.287,17.7832512,4.805106738794594
5000.0,2.216,18.9679072,4.495928783019687
5000.0,2.134,20.1525632,4.175941835387212
5000.0,2.04,21.3372192,3.8465734985953413
5000.0,1.934,22.5263456,3.5091494037209445
5000.0,1.817,23.7110016,3.164893210219596
5000.0,1.688,24.8956576,2.8151305491681664
5000.0,1.549,26.0803136,2.46108508002223
5000.0,1.399,27.2649696,2.1042863771012525
5000.0,1.239,28.454096,1.7460600714821068
5000.0,1.069,29.638751999999997,1.3881396807268538
5000.0,0.892,30.823408,1.0322587223975568
5000.0,0.707,32.008064,0.680252685677576
5000.0,0.516,33.19272,0.3343649462354627
5000.0,0.319,34.3818464,-0.005098581064889642
6000.0,3.178,0.0,11.201990486047734
6000.0,3.241,1.4215872,11.059128244609527
6000.0,3.303,2.8431744,10.901276174840543
6000.0,3.361,4.260291199999999,10.727414560527807
6000.0,3.415,5.6818784,10.536319742215742
6000.0,3.464,7.1034656,10.32666608882748
6000.0,3.505,8.5250528,10.097229940907445
6000.0,3.538,9.94664,9.846991582242662
6000.0,3.56,11.3682272,9.57503326824145
6000.0,3.571,12.785344,9.28064119755472
6000.0,3.569,14.2069312,8.96330551207599
6000.0,3.552,15.6285184,8.622720296941361
6000.0,3.52,17.0501056,8.258987523772134
6000.0,3.472,18.4716928,7.872107192568309
6000.0,3.405,19.89328,7.461977331708587
6000.0,3.32,21.3103968,7.030433430376326
6000.0,3.217,22.731984,6.58033069396787
6000.0,3.097,24.153571200000002,6.11411644139436
6000.0,2.959,25.5751584,5.634034048324351
6000.0,2.803,26.9967456,5.141715060698608
6000.0,2.631,28.418332799999998,4.639300882564383
6000.0,2.442,29.835449599999997,4.128525031483739
6000.0,2.237,31.2570368,3.6112229966400355
6000.0,2.016,32.678624,3.089638153701825
6000.0,1.78,34.1002112,2.565809935095063
6000.0,1.531,35.521798399999994,2.042185659730897
6000.0,1.27,36.9433856,1.5213146181417714
6000.0,0.997,38.3605024,1.006052015724024
6000.0,0.716,39.7820896,0.4995589727378871
6000.0,0.427,41.2036768,0.0026512621537426134
7000.0,4.377,0.0,15.442276414473854
7000.0,4.466,1.6585184,15.251997369132171
7000.0,4.553,3.3125664,15.041120056288335
7000.0,4.635,4.9710848,14.808012930001583
7000.0,4.711,6.6296032,14.55073852946725
7000.0,4.78,8.2836512,14.267665308744578
7000.0,4.838,9.9421696,13.956957778650203
7000.0,4.885,11.596217600000001,13.61708636486466
7000.0,4.917,13.254736,13.246623464689778
7000.0,4.933,14.9132544,12.844651333533877
7000.0,4.93,16.5673024,12.410252226805282
7000.0,4.908,18.2258208,11.94322220126139
7000.0,4.863,19.8843392,11.443459285280907
7000.0,4.796,21.5383872,10.91106545048513
7000.0,4.703,23.1969056,10.345938725252763
7000.0,4.584,24.855424,9.750322485252354
7000.0,4.44,26.509472,9.128397566957117
7000.0,4.272,28.167990399999997,8.483529033869873
7000.0,4.078,29.822038399999997,7.818674063008265
7000.0,3.861,31.4805568,7.136585888147329
7000.0,3.62,33.1390752,6.43981379981951
7000.0,3.355,34.7931232,5.731009060178552
7000.0,3.068,36.4516416,5.012822931378198
7000.0,2.759,38.11016,4.288110618814784
7000.0,2.429,39.764208,3.5600332427485433
7000.0,2.08,41.422726399999995,2.8318538950610046
7000.0,1.714,43.0812448,2.1072435541188885
7000.0,1.333,44.735292799999996,1.3902810847741074
7000.0,0.939,46.3938112,0.6855552099850611
7000.0,0.533,48.0478592,-0.006526183763058742
8000.0,5.833,0.0,20.4805922511765
8000.0,5.952,1.8909792,20.2404490830202
8000.0,6.068,3.7819584,19.972977520356086
8000.0,6.178,5.6729376,19.67573024427302
8000.0,6.281,7.5639168,19.346157964238554
8000.0,6.374,9.454896,18.981711389720243
8000.0,6.453,11.3458752,18.580045173428235
8000.0,6.517,13.2368544,18.138813968072686
8000.0,6.561,15.132304,17.655978341227637
8000.0,6.583,17.023283199999998,17.13021266181622
8000.0,6.581,18.914262400000002,16.56039524200415
8000.0,6.551,20.8052416,15.94601622368495
8000.0,6.492,22.696220800000003,15.286973635237313
8000.0,6.401,24.5872,14.583369448282545
8000.0,6.277,26.4781792,13.83510169119934
8000.0,6.118,28.3691584,13.044923597762745
8000.0,5.924,30.2601376,12.218239663901537
8000.0,5.696,32.1511168,11.359842555816718
8000.0,5.436,34.042096,10.473709166738898
8000.0,5.142,35.9330752,9.5634085034135
8000.0,4.817,37.8240544,8.632713515828545
8000.0,4.459,39.7150336,7.684989267486859
8000.0,4.072,41.606012799999995,6.72390673675516
8000.0,3.654,43.496992,5.753442816864067
8000.0,3.21,45.392441600000005,4.777574401044189
8000.0,2.739,47.283420799999995,3.80089021225393
8000.0,2.246,49.1744,2.828284888315582
