RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.001,0.0,0.006424212141760948
1000.0,0.001,0.12070080000000001,0.006424212141760948
1000.0,0.001,0.24140160000000002,0.006322240520463155
1000.0,0.002,0.3621024,0.006220268899165362
1000.0,0.002,0.48727360000000003,0.006220268899165362
1000.0,0.002,0.6079744,0.006118297277867569
1000.0,0.002,0.7286752,0.006016325656569776
1000.0,0.002,0.8493759999999999,0.005914354035271984
1000.0,0.002,0.9700768,0.005812382413974191
1000.0,0.002,1.0907776,0.0057104107926763984
1000.0,0.002,1.2114784,0.0056084391713786055
1000.0,0.002,1.3366496,0.00540449592878302
1000.0,0.002,1.4573504,0.005302524307485227
1000.0,0.002,1.5780512,0.005098581064889642
1000.0,0.002,1.6987519999999998,0.004894637822294056
1000.0,0.002,1.8194528,0.00469069457969847
1000.0,0.002,1.9401536,0.0043847797158050915
1000.0,0.002,2.0608544,0.004078864851911714
1000.0,0.001,2.1815552,0.0038749216093161274
1000.0,0.001,2.3067264,0.0035690067454227496
1000.0,0.001,2.4274272,0.003263091881529371
1000.0,0.001,2.548128,0.0028552053963381992
1000.0,0.001,2.6688288,0.002549290532444821
1000.0,0.001,2.7895296,0.002243375668551442
1000.0,0.001,2.9102303999999997,0.0018354891833602708
1000.0,0.001,3.0309312,0.0015295743194668923
1000.0,0.001,3.1561024,0.001223659455573514
1000.0,0.001,3.2768032,0.0008157729703823427
1000.0,0.001,3.3975039999999996,0.00040788648519117136
1000.0,0.001,3.5182048,0.00010197162129779284
2000.0,0.005,0.0,0.02590079180963938
2000.0,0.005,0.245872,0.02569684856704379
2000.0,0.005,0.49621440000000006,0.025492905324448208
2000.0,0.005,0.7420863999999999,0.02528896208185262
2000.0,0.005,0.9924288000000001,0.025085018839257036
2000.0,0.005,1.2383008,0.024779103975363658
2000.0,0.006,1.4841727999999998,0.024473189111470277
2000.0,0.006,1.7345152,0.024065302626279105
2000.0,0.006,1.9803871999999998,0.023657416141087937
2000.0,0.006,2.2307296,0.02314755803459897
2000.0,0.006,2.4766016,0.02263769992811001
2000.0,0.006,2.7224736,0.021923898579025457
2000.0,0.006,2.972816,0.0213120688512387
2000.0,0.006,3.218688,0.02049629588085636
2000.0,0.006,3.4690304,0.019578551289176224
2000.0,0.006,3.7149024,0.018660806697496087
