RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.001,0.0,0.005914354035271984
1000.0,0.001,0.0715264,0.005812382413974191
1000.0,0.001,0.1430528,0.0057104107926763984
1000.0,0.001,0.2145792,0.0056084391713786055
1000.0,0.001,0.2861056,0.00540449592878302
1000.0,0.001,0.357632,0.005302524307485227
1000.0,0.001,0.4291584,0.005098581064889642
1000.0,0.001,0.5006848,0.004996609443591849
1000.0,0.001,0.5722112,0.004792666200996263
1000.0,0.001,0.6437376,0.00469069457969847
1000.0,0.001,0.715264,0.004486751337102884
1000.0,0.001,0.7867904,0.0042828080945072995
1000.0,0.001,0.8583168,0.004078864851911714
1000.0,0.001,0.9298432,0.0038749216093161274
1000.0,0.001,1.0013696,0.0036709783667205416
1000.0,0.001,1.0728959999999998,0.0034670351241249567
1000.0,0.001,1.1444224,0.003263091881529371
1000.0,0.001,1.2159488,0.0030591486389337846
1000.0,0.001,1.2874752,0.0028552053963381992
1000.0,0.001,1.3590016,0.0026512621537426134
1000.0,0.001,1.430528,0.002345347289849235
1000.0,0.001,1.5020544,0.0021414040472536497
1000.0,0.001,1.5735808,0.0018354891833602708
1000.0,0.0,1.6451072,0.0016315459407646854
1000.0,0.0,1.7166336,0.0014276026981690996
1000.0,0.0,1.78816,0.001121687834275721
1000.0,0.0,1.8596864,0.0008157729703823427
1000.0,0.0,1.9312128000000002,0.000611829727786757
1000.0,0.0,2.0027392,0.0003059148638933785
1000.0,0.0,2.0742656,0.00010197162129779284
2000.0,0.003,0.0,0.02375938776238573
2000.0,0.003,0.1430528,0.023249529655896765
2000.0,0.003,0.290576,0.0227396715494078
2000.0,0.003,0.4336288,0.022229813442918838
2000.0,0.003,0.581152,0.021719955336429873
2000.0,0.003,0.7242048,0.021108125608643113
2000.0,0.003,0.871728,0.02049629588085636
2000.0,0.003,1.0147808,0.019884466153069602
2000.0,0.003,1.162304,0.019272636425282846
2000.0,0.003,1.3053568,0.018558835076198293
2000.0,0.003,1.45288,0.017845033727113744
2000.0,0.003,1.5959328,0.017131232378029198
2000.0,0.003,1.743456,0.016315459407646855
2000.0,0.003,1.8865087999999999,0.01549968643726451
2000.0,0.003,2.0295616,0.014683913466882166
2000.0,0.003,2.1770848,0.013868140496499827
2000.0,0.003,2.3201376000000002,0.01295039590481969
2000.0,0.002,2.4676608,0.012032651313139553
2000.0,0.002,2.6107136,0.011114906721459419
2000.0,0.002,2.7582367999999997,0.010197162129779284
2000.0,0.002,2.9012896,0.009279417538099147
2000.0,0.002,3.0488128,0.00825970132512122
2000.0,0.002,3.1918656,0.00723998511214329
2000.0,0.002,3.3393888,0.006220268899165362
2000.0,0.002,3.4824416,0.005200552686187434
2000.0,0.002,3.6299647999999998,0.004180836473209507
2000.0,0.001,3.7730175999999997,0.0031611202602315775
2000.0,0.001,3.9160703999999997,0.0021414040472536497
2000.0,0.001,4.0635936,0.001121687834275721
2000.0,0.001,4.2066464,0.00010197162129779284
3000.0,0.007,0.0,0.053433129560043445
3000.0,0.007,0.21904959999999998,0.052413413347065514
3000.0,0.007,0.43809919999999997,0.05129172551278979
3000.0,0.007,0.6571488,0.05006806605721628
3000.0,0.007,0.871728,0.04884440660164276
3000.0,0.007,1.0907776,0.04751877552477146
3000.0,0.007,1.3098272,0.04619314444790015
3000.0,0.007,1.5288768,0.044765541749731054
3000.0,0.007,1.7479264,0.043337939051561955
3000.0,0.006,1.966976,0.04180836473209506
3000.0,0.006,2.1815552,0.04017681879133038
3000.0,0.006,2.4006048,0.038443301229267896
3000.0,0.006,2.6196544,0.03670978366720542
3000.0,0.006,2.838704,0.03497626610514294
3000.0,0.006,3.0577536,0.03303880530048488
3000.0,0.006,3.2768032,0.031101344495826813
3000.0,0.006,3.4913823999999996,0.029163883691168745
3000.0,0.005,3.7104320000000004,0.027124451265212894
3000.0,0.005,3.9294815999999995,0.024983047217959242
3000.0,0.005,4.1485312,0.022841643170705594
3000.0,0.005,4.3675808,0.020700239123451945
3000.0,0.005,4.5866304,0.018456863454900503
3000.0,0.004,4.80568,0.01621348778634906
3000.0,0.004,5.0202592,0.013970112117797619
3000.0,0.004,5.2393088,0.011726736449246176
3000.0,0.003,5.458358400000001,0.00938138915939694
