RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.001,0.0,0.0042828080945072995
1000.0,0.001,0.0715264,0.004180836473209507
1000.0,0.001,0.1385824,0.004078864851911714
1000.0,0.001,0.21010879999999998,0.004078864851911714
1000.0,0.001,0.2816352,0.003976893230613921
1000.0,0.001,0.3531616,0.0038749216093161274
1000.0,0.001,0.42021759999999997,0.0037729499880183345
1000.0,0.001,0.491744,0.0036709783667205416
1000.0,0.001,0.5632704,0.0035690067454227496
1000.0,0.001,0.6347967999999999,0.0034670351241249567
1000.0,0.001,0.7018528,0.0033650635028271638
1000.0,0.001,0.7733791999999999,0.0031611202602315775
1000.0,0.001,0.8449055999999999,0.0030591486389337846
1000.0,0.001,0.9164319999999999,0.002957177017635992
1000.0,0.001,0.983488,0.0027532337750404063
1000.0,0.001,1.0550144,0.0026512621537426134
1000.0,0.001,1.1265408,0.002447318911147028
1000.0,0.001,1.1980672,0.002345347289849235
1000.0,0.001,1.2651232000000001,0.0021414040472536497
1000.0,0.001,1.3366496,0.002039432425955857
1000.0,0.001,1.4081759999999999,0.0018354891833602708
1000.0,0.001,1.4797024,0.0016315459407646854
1000.0,0.0,1.5467583999999999,0.0014276026981690996
1000.0,0.0,1.6182848,0.001223659455573514
1000.0,0.0,1.6898111999999998,0.001121687834275721
1000.0,0.0,1.7613376,0.0009177445916801354
1000.0,0.0,1.8283935999999998,0.0007138013490845498
1000.0,0.0,1.89992,0.0005098581064889642
1000.0,0.0,1.9714464,0.0003059148638933785
1000.0,0.0,2.0429728000000003,0.00010197162129779284
2000.0,0.002,0.0,0.017131232378029198
2000.0,0.002,0.1430528,0.016825317514135817
2000.0,0.002,0.290576,0.01651940265024244
2000.0,0.002,0.4336288,0.01621348778634906
2000.0,0.002,0.5766816,0.015907572922455683
2000.0,0.002,0.7197344,0.01549968643726451
2000.0,0.002,0.8672576,0.015091799952073338
2000.0,0.002,1.0103103999999998,0.014683913466882166
2000.0,0.002,1.1533632,0.014276026981690998
2000.0,0.002,1.3008864,0.013766168875202033
2000.0,0.002,1.4439392,0.01325631076871307
2000.0,0.002,1.586992,0.012746452662224104
2000.0,0.002,1.7345152,0.012236594555735138
2000.0,0.002,1.8775680000000001,0.011624764827948383
2000.0,0.002,2.0206207999999997,0.011114906721459419
2000.0,0.002,2.1636736,0.010503076993672662
2000.0,0.002,2.3111968,0.009789275644588112
2000.0,0.002,2.4542496000000003,0.009177445916801355
2000.0,0.002,2.5973024,0.008463644567716805
2000.0,0.002,2.7448256,0.007749843218632255
2000.0,0.002,2.8878784,0.007036041869547706
2000.0,0.002,3.0309312,0.006322240520463155
2000.0,0.002,3.173984,0.005506467550080813
2000.0,0.002,3.3215071999999997,0.004792666200996263
2000.0,0.002,3.46456,0.003976893230613921
2000.0,0.001,3.6076128,0.003263091881529371
2000.0,0.001,3.7551360000000003,0.002447318911147028
2000.0,0.001,3.8981888000000002,0.0016315459407646854
2000.0,0.001,4.041241599999999,0.0009177445916801354
2000.0,0.001,4.1842944,0.00010197162129779284
3000.0,0.005,0.0,0.03854527285056569
3000.0,0.005,0.21904959999999998,0.03793344312277893
3000.0,0.005,0.43809919999999997,0.037321613394992174
3000.0,0.005,0.6526784,0.03650584042460983
3000.0,0.005,0.871728,0.03579203907552528
3000.0,0.005,1.0907776,0.03497626610514294
3000.0,0.005,1.3098272,0.03405852151346281
3000.0,0.005,1.5244064,0.03314077692178267
3000.0,0.005,1.743456,0.032121060708804744
3000.0,0.005,1.9625055999999999,0.031101344495826813
3000.0,0.005,2.1815552,0.029979656661551092
3000.0,0.005,2.3961344,0.028755997205977574
3000.0,0.005,2.6151839999999997,0.027532337750404066
3000.0,0.005,2.8342335999999997,0.026206706673532757
3000.0,0.005,3.0532832,0.02488107559666145
3000.0,0.005,3.2678624,0.023453472898492353
3000.0,0.004,3.486912,0.02202587020032325
3000.0,0.004,3.7059615999999997,0.02049629588085636
3000.0,0.004,3.9250111999999997,0.018966721561389465
3000.0,0.004,4.1395903999999994,0.017335175620624782
3000.0,0.004,4.35864,0.015703629679860096
3000.0,0.004,4.5776896,0.014072083739095412
3000.0,0.003,4.7967392,0.012338566177032932
3000.0,0.003,5.0113184,0.010605048614970454
3000.0,0.003,5.2303679999999995,0.008871531052907975
3000.0,0.003,5.449417599999999,0.007138013490845499
3000.0,0.003,5.668467199999999,0.00540449592878302
3000.0,0.002,5.8830464,0.0035690067454227496
3000.0,0.002,6.102096,0.0018354891833602708
3000.0,0.002,6.3211456,0.00010197162129779284
4000.0,0.009,0.0,0.06872887275471237
4000.0,0.009,0.290576,0.06760718492043664
4000.0,0.009,0.581152,0.06638352546486313
4000.0,0.009,0.8761983999999999,0.06505789438799182
4000.0,0.009,1.1667744,0.06373226331112052
4000.0,0.009,1.4573504,0.062202688991653626
4000.0,0.009,1.7479264,0.06067311467218673
4000.0,0.009,2.0429728000000003,0.05893959711012425
4000.0,0.009,2.3335488,0.05720607954806178
4000.0,0.009,2.6241248,0.05526861874340372
4000.0,0.009,2.9147008,0.053331157938745655
4000.0,0.008,3.2097472,0.051189753891492
4000.0,0.008,3.5003232,0.04904834984423835
4000.0,0.008,3.7908992,0.04670300255438912
4000.0,0.008,4.0814752,0.04425568364324209
4000.0,0.008,4.376521599999999,0.04170639311079726
4000.0,0.008,4.6670976,0.03915710257835245
4000.0,0.007,4.9576736,0.03640386880331204
4000.0,0.007,5.2482496,0.03365063502827163
4000.0,0.007,5.543296,0.030795429631933435
4000.0,0.007,5.833872,0.027838252614297444
4000.0,0.006,6.124447999999999,0.02488107559666145
4000.0,0.006,6.415024,0.021821926957727666
4000.0,0.006,6.7100704,0.01876277831879388
4000.0,0.005,7.0006464,0.015703629679860096
4000.0,0.005,7.2912224,0.012542509419628518
4000.0,0.004,7.5817984,0.00938138915939694
4000.0,0.004,7.8723744,0.006322240520463155
4000.0,0.004,8.1674208,0.0031611202602315775
4000.0,0.003,8.4579968,0.00010197162129779284
5000.0,0.013,0.0,0.10747808884787365
5000.0,0.013,0.3665728,0.10574457128581116
5000.0,0.013,0.7286752,0.10390908210245088
5000.0,0.013,1.095248,0.10186964967649503
5000.0,0.013,1.4618208,0.09962627400794359
5000.0,0.013,1.8283935999999998,0.09738289833939215
5000.0,0.013,2.190496,0.09483360780694734
5000.0,0.013,2.5570687999999997,0.09228431727450251
5000.0,0.013,2.9236416,0.08942911187816431
5000.0,0.013,3.2902144,0.08647193486052832
5000.0,0.013,3.6523168,0.08341278622159452
5000.0,0.013,4.0188896,0.08004772271876738
5000.0,0.013,4.3854624,0.07668265921594021
5000.0,0.013,4.7520352,0.07301168084921966
5000.0,0.012,5.114137599999999,0.06923873086120133
5000.0,0.012,5.4807103999999995,0.06526183763058742
5000.0,0.012,5.8472832,0.061182972778675696
5000.0,0.011,6.213856,0.056900164684168406
5000.0,0.011,6.5759584,0.05251538496836331
5000.0,0.01,6.9425311999999995,0.04802863363126042
5000.0,0.01,7.3091040000000005,0.043439910672859745
5000.0,0.009,7.6712064,0.03885118771445907
5000.0,0.009,8.0377792,0.03405852151346281
5000.0,0.008,8.404352,0.02926585531246654
5000.0,0.008,8.7709248,0.024473189111470277
5000.0,0.007,9.133027199999999,0.019578551289176224
5000.0,0.006,9.4996,0.014683913466882166
5000.0,0.006,9.8661728,0.009789275644588112
5000.0,0.005,10.2327456,0.004894637822294056
5000.0,0.004,10.594847999999999,0.00010197162129779284
6000.0,0.019,0.0,0.1550988359939429
6000.0,0.019,0.43809919999999997,0.15254954546149807
6000.0,0.019,0.8761983999999999,0.14979631168645768
6000.0,0.019,1.3187680000000002,0.14683913466882167
6000.0,0.019,1.7568672,0.1437799860298879
6000.0,0.019,2.1949664,0.14041492252706073
6000.0,0.019,2.6330655999999997,0.136845915781638
6000.0,0.019,3.0756352,0.13307296579361963
6000.0,0.019,3.5137344,0.1289941009417079
6000.0,0.019,3.9518336,0.12471129284720064
6000.0,0.019,4.3899328,0.12022454151009775
6000.0,0.018,4.828032,0.11543187530910147
6000.0,0.018,5.270601599999999,0.11053723748680744
6000.0,0.018,5.7087008,0.1052347131793222
6000.0,0.017,6.1468,0.09983021725053919
6000.0,0.017,6.5848992,0.09411980645786279
6000.0,0.016,7.0274688,0.088103480801293
6000.0,0.016,7.465567999999999,0.08198518352342545
6000.0,0.015,7.9036672,0.07566294300296228
6000.0,0.015,8.3417664,0.06923873086120133
6000.0,0.014,8.7798656,0.0626105754768448
6000.0,0.013,9.2224352,0.055880448471190475
6000.0,0.012,9.6605344,0.04904834984423835
6000.0,0.012,10.0986336,0.04211427959598844
6000.0,0.011,10.5367328,0.03518020934773852
6000.0,0.01,10.9793024,0.028144167478190825
6000.0,0.009,11.4174016,0.021108125608643113
6000.0,0.008,11.8555008,0.014072083739095412
6000.0,0.007,12.2936,0.007036041869547706
6000.0,0.006,12.7316992,0.00010197162129779284
7000.0,0.025,0.0,0.21138717095032453
7000.0,0.025,0.514096,0.2079201358261996
7000.0,0.025,1.028192,0.20424915745947905
7000.0,0.025,1.5378176,0.20027226422886513
7000.0,0.025,2.0519136,0.1959894561343578
7000.0,0.026,2.5660096,0.19140073317595716
7000.0,0.026,3.0801056,0.18650609535366308
7000.0,0.025,3.5897311999999997,0.18130554266747564
7000.0,0.025,4.1038272,0.17579907511739484
7000.0,0.025,4.6179232,0.16998669270342065
7000.0,0.025,5.1320192,0.16386839542555307
7000.0,0.025,5.6461152000000006,0.15734221166249432
7000.0,0.024,6.155740799999999,0.15061208465684
7000.0,0.024,6.6698368,0.1434740711659945
7000.0,0.023,7.1839328,0.13592817118995784
7000.0,0.023,7.6980287999999994,0.12817832797132558
7000.0,0.022,8.2076544,0.12002059826750217
7000.0,0.021,8.721750400000001,0.11165892532108315
7000.0,0.02,9.2358464,0.10309330913206854
7000.0,0.02,9.7499424,0.09422177807916057
7000.0,0.019,10.259568,0.0852482754049548
7000.0,0.018,10.773664,0.07607082948815345
7000.0,0.016,11.28776,0.06668944032875651
7000.0,0.015,11.801855999999999,0.057308051169359574
7000.0,0.014,12.315952,0.04772271876736705
7000.0,0.013,12.8255776,0.03813738636537452
7000.0,0.012,13.3396736,0.028552053963381997
7000.0,0.01,13.8537696,0.018966721561389465
7000.0,0.009,14.3678656,0.009483360780694733
7000.0,0.007,14.8774912,0.0
8000.0,0.032,0.0,0.2765470369596142
8000.0,0.032,0.5856224,0.2720602856225113
8000.0,0.033,1.1712448,0.26716564780021723
8000.0,0.033,1.7613376,0.26196509511402977
8000.0,0.033,2.34696,0.256458627563949
8000.0,0.033,2.9325824,0.2504423019073792
8000.0,0.033,3.5182048,0.24401808976561823
8000.0,0.033,4.108297599999999,0.23728796275996392
8000.0,0.033,4.69392,0.2300479776478206
8000.0,0.033,5.2795424,0.22250207767178395
8000.0,0.032,5.8651648,0.21444631958925833
8000.0,0.032,6.4552575999999995,0.20598267502154152
8000.0,0.031,7.04088,0.19700917234733575
8000.0,0.031,7.6265024,0.1877297548092366
8000.0,0.03,8.2121248,0.1779404791646485
8000.0,0.029,8.8022176,0.1676413454135714
8000.0,0.028,9.38784,0.15703629679860096
8000.0,0.027,9.973462399999999,0.14612533331973712
8000.0,0.026,10.5590848,0.13480648335568213
8000.0,0.025,11.1491776,0.12328369014903154
8000.0,0.024,11.7348,0.11145498207848756
8000.0,0.023,12.3204224,0.0995243023866458
8000.0,0.021,12.9060448,0.08728770783091067
8000.0,0.02,13.4961376,0.07494914165387773
8000.0,0.018,14.08176,0.062508603855547
8000.0,0.016,14.667382400000001,0.049966094435918484
8000.0,0.015,15.2530048,0.037423585016289965
8000.0,0.013,15.843097599999998,0.02488107559666145
8000.0,0.011,16.42872,0.012440537798330724
8000.0,0.009,17.0143424,0.00010197162129779284
9000.0,0.04,0.0,0.35068040564310954
9000.0,0.041,0.6616192,0.34496999485043317
9000.0,0.041,1.3232384,0.3387497259512678
9000.0,0.041,1.9803871999999998,0.33222354218820904
9000.0,0.041,2.6420064,0.32508552869736357
9000.0,0.042,3.3036255999999997,0.31753962872132685
9000.0,0.042,3.9652448,0.30948387063880123
9000.0,0.041,4.626863999999999,0.3008162828284889
9000.0,0.041,5.2840128,0.2917408085329853
9000.0,0.041,5.945632,0.28205350450969496
9000.0,0.041,6.607251199999999,0.2718563423799157
9000.0,0.04,7.268870400000001,0.26114932214364744
9000.0,0.04,7.9304896,0.24983047217959245
9000.0,0.039,8.5876384,0.23800176410904847
9000.0,0.038,9.2492576,0.22556122631071776
9000.0,0.037,9.9108768,0.21250885878460027
9000.0,0.036,10.572496,0.1990486047732916
9000.0,0.034,11.2296448,0.18518046427679177
9000.0,0.033,11.891264,0.17090443729510077
9000.0,0.032,12.552883199999998,0.15622052382821863
9000.0,0.03,13.214502399999999,0.14123069549744308
9000.0,0.028,13.8761216,0.12603692392407193
9000.0,0.026,14.5332704,0.11053723748680744
9000.0,0.024,15.1948896,0.09483360780694734
9000.0,0.022,15.856508799999999,0.07902800650578945
9000.0,0.02,16.518128,0.06322240520463156
9000.0,0.018,17.1797472,0.047212860660878084
9000.0,0.016,17.836896,0.0313052877384224
9000.0,0.013,18.4985152,0.015601658058562303
9000.0,0.011,19.1601344,0.0
10000.0,0.05,0.0,0.43368530537951294
10000.0,0.05,0.7465567999999999,0.4265472918886674
10000.0,0.05,1.4931135999999998,0.41879744867003516
10000.0,0.051,2.2396704,0.41053774734491394
10000.0,0.051,2.9862271999999996,0.40156424467070817
10000.0,0.051,3.7327839999999997,0.3919789122687156
10000.0,0.051,4.4793408,0.3817817501389364
10000.0,0.051,5.2303679999999995,0.3708707866600725
10000.0,0.051,5.9769248,0.35934799345342194
10000.0,0.05,6.7234815999999995,0.3471113988976868
10000.0,0.05,7.4700384,0.3341610029928671
10000.0,0.049,8.216595199999999,0.32049680573896283
10000.0,0.048,8.963152000000001,0.30611880713597406
10000.0,0.047,9.7097088,0.29102700718390073
10000.0,0.046,10.4562656,0.27522140588274285
10000.0,0.045,11.202822399999999,0.2588039748537982
10000.0,0.043,11.9493792,0.24167274247576903
10000.0,0.042,12.695936,0.22403165199125086
10000.0,0.04,13.4424928,0.20588070340024373
10000.0,0.038,14.19352,0.18732186832404543
10000.0,0.036,14.9400768,0.16835514676265598
10000.0,0.034,15.6866336,0.1490825103373731
10000.0,0.031,16.433190399999997,0.1295039590481969
10000.0,0.029,17.1797472,0.10972146451642509
10000.0,0.026,17.926304000000002,0.08983699836335549
10000.0,0.023,18.672860800000002,0.0697485889676903
10000.0,0.02,19.4194176,0.0497621511933229
10000.0,0.018,20.1659744,0.029775713418955504
10000.0,0.014,20.9125312,0.01009519050848149
10000.0,,21.659088,
11000.0,0.06,0.0,0.5258676510327176
11000.0,0.06,0.8091424,0.5173020348437031
11000.0,0.061,1.6182848,0.5081245889269016
11000.0,0.061,2.4274272,0.4983353132823135
11000.0,0.061,3.2320992,0.48773026466734315
11000.0,0.061,4.041241599999999,0.47630944308199036
11000.0,0.061,4.850384,0.4642767917688507
11000.0,0.061,5.6595264,0.45132639586403106
11000.0,0.061,6.4686688000000006,0.4376621986101268
11000.0,0.061,7.2778112,0.4231822283858403
11000.0,0.06,8.0869536,0.40778451356987355
11000.0,0.059,8.896096,0.39167299740482225
11000.0,0.058,9.700768,0.37474570826938863
11000.0,0.057,10.5099104,0.3569006745422749
11000.0,0.056,11.3190528,0.33823986784477883
11000.0,0.054,12.128195199999999,0.31876328817690036
11000.0,0.053,12.937337600000001,0.2985729071599374
11000.0,0.051,13.74648,0.2776687247938899
11000.0,0.049,14.5556224,0.2561527127000556
11000.0,0.046,15.364764799999998,0.2341268424997323
11000.0,0.044,16.1694368,0.21169308581421792
11000.0,0.041,16.9785792,0.18874947102221454
11000.0,0.039,17.787721599999998,0.16560191298761556
11000.0,0.036,18.596864,0.14204646846782543
11000.0,0.032,19.4060064,0.11828708070543968
11000.0,0.029,20.215148799999998,0.09442572132175617
11000.0,0.026,21.0242912,0.07056436193807264
11000.0,0.022,21.833433600000003,0.04670300255438912
11000.0,0.019,22.6381056,0.02304558641330118
11000.0,0.015,23.447248000000002,-0.0003059148638933785
12000.0,0.071,0.0,0.6272274426027237
12000.0,0.072,0.8806688,0.6170302804729444
12000.0,0.072,1.765808,0.6061193169940806
12000.0,0.072,2.6464768,0.5943925805448343
12000.0,0.073,3.5271456,0.5817480995039082
12000.0,0.073,4.4078143999999995,0.5682878454925995
12000.0,0.073,5.2929536,0.5539098468896106
12000.0,0.073,6.1736224,0.5385121320736439
12000.0,0.073,7.0542912,0.5221966726659971
12000.0,0.072,7.939430400000001,0.5049634686666701
12000.0,0.071,8.8200992,0.4866085768330674
12000.0,0.07,9.700768,0.4674379120290823
12000.0,0.069,10.5814368,0.4472475310121194
12000.0,0.068,11.466576,0.42603743378217845
12000.0,0.066,12.3472448,0.40370564871796183
12000.0,0.065,13.227913599999999,0.38045611906206506
12000.0,0.063,14.1130528,0.35639081643578596
12000.0,0.06,14.993721599999999,0.3314077692178267
12000.0,0.058,15.8743904,0.3058128922720807
12000.0,0.055,16.7595296,0.27960618559854794
12000.0,0.052,17.6401984,0.25278764919722846
12000.0,0.049,18.520867199999998,0.22545925468941994
12000.0,0.046,19.401536,0.19782494531771808
12000.0,0.042,20.2866752,0.16978274946082506
12000.0,0.038,21.167344,0.14143463874003864
12000.0,0.034,22.0480128,0.11298455639795446
12000.0,0.03,22.933152,0.08453447405587025
12000.0,0.026,23.813820800000002,0.05608439171378606
12000.0,0.022,24.6944896,0.027940224235595237
12000.0,0.017,25.5751584,0.0
13000.0,0.083,0.0,0.7378666517108289
13000.0,0.084,0.9566656,0.7259359720189872
13000.0,0.084,1.9133312,0.7130875477354653
13000.0,0.085,2.8655264,0.6993213788602632
13000.0,0.085,3.8221920000000003,0.6845354937720832
13000.0,0.085,4.778857599999999,0.6686279208496276
13000.0,0.085,5.7355232,0.651700631714194
13000.0,0.085,6.6921888,0.6336516547444847
13000.0,0.085,7.648854399999999,0.6144809899404996
13000.0,0.084,8.6010496,0.5941886373022388
13000.0,0.084,9.557715199999999,0.5726726252084045
13000.0,0.083,10.5143808,0.5500349252802945
13000.0,0.081,11.4710464,0.5262755375179088
13000.0,0.08,12.427712,0.5012924902999496
13000.0,0.078,13.3843776,0.4750857836264168
13000.0,0.076,14.3365728,0.44765541749731047
