RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.0,0.0,0.002957177017635992
1000.0,0.0,0.0715264,0.0028552053963381992
1000.0,0.0,0.1430528,0.0028552053963381992
1000.0,0.0,0.2145792,0.0027532337750404063
1000.0,0.0,0.2861056,0.0027532337750404063
1000.0,0.0,0.357632,0.0026512621537426134
1000.0,0.0,0.4291584,0.002549290532444821
1000.0,0.0,0.5006848,0.002549290532444821
1000.0,0.0,0.5722112,0.002447318911147028
1000.0,0.0,0.6437376,0.002345347289849235
1000.0,0.0,0.715264,0.002243375668551442
1000.0,0.0,0.7867904,0.0021414040472536497
1000.0,0.0,0.8538464,0.002039432425955857
1000.0,0.0,0.9253727999999999,0.0019374608046580637
1000.0,0.0,0.9968992,0.0018354891833602708
1000.0,0.0,1.0684256,0.0017335175620624783
1000.0,0.0,1.1399519999999999,0.0016315459407646854
1000.0,0.0,1.2114784,0.0015295743194668923
1000.0,0.0,1.2830048,0.0014276026981690996
1000.0,0.0,1.3545311999999998,0.0013256310768713067
1000.0,0.0,1.4260576,0.001223659455573514
1000.0,0.0,1.497584,0.001121687834275721
1000.0,0.0,1.5691103999999998,0.0009177445916801354
1000.0,0.0,1.6406368,0.0008157729703823427
1000.0,0.0,1.7121632,0.0007138013490845498
1000.0,0.0,1.7836896,0.000611829727786757
1000.0,0.0,1.8552160000000002,0.0005098581064889642
1000.0,0.0,1.9267423999999997,0.0003059148638933785
1000.0,0.0,1.9982688,0.00020394324259558568
1000.0,0.0,2.0697951999999997,0.00010197162129779284
2000.0,0.002,0.0,0.011726736449246176
2000.0,0.002,0.1475232,0.01152279320665059
2000.0,0.002,0.2950464,0.011318849964055005
2000.0,0.002,0.4425696,0.011114906721459419
2000.0,0.002,0.5900928,0.010910963478863833
2000.0,0.002,0.7376159999999999,0.010605048614970454
2000.0,0.002,0.8851392,0.010299133751077076
2000.0,0.002,1.028192,0.009993218887183698
2000.0,0.002,1.1757152,0.009687304023290318
2000.0,0.002,1.3232384,0.00938138915939694
2000.0,0.002,1.4707616,0.008973502674205769
2000.0,0.002,1.6182848,0.008565616189014599
2000.0,0.002,1.765808,0.00825970132512122
2000.0,0.002,1.9133312,0.007851814839930048
2000.0,0.002,2.0608544,0.007341956733441083
2000.0,0.002,2.2083776,0.006934070248249913
2000.0,0.001,2.3559007999999997,0.006526183763058742
2000.0,0.001,2.503424,0.006016325656569776
2000.0,0.001,2.6509471999999996,0.0056084391713786055
2000.0,0.001,2.794,0.005098581064889642
2000.0,0.001,2.9415232,0.004588722958400677
2000.0,0.001,3.0890464,0.004078864851911714
2000.0,0.001,3.2365696,0.0036709783667205416
2000.0,0.001,3.3840928,0.0031611202602315775
2000.0,0.001,3.531616,0.0026512621537426134
2000.0,0.001,3.6791392000000003,0.0021414040472536497
2000.0,0.001,3.8266624,0.0016315459407646854
2000.0,0.001,3.9741856,0.001121687834275721
2000.0,0.001,4.1217088,0.000611829727786757
2000.0,0.001,4.269232000000001,0.00010197162129779284
3000.0,0.003,0.0,0.02651262153742614
3000.0,0.003,0.22352,0.026104735052234967
3000.0,0.003,0.44704,0.025594876945746
3000.0,0.003,0.6660896,0.025085018839257036
3000.0,0.003,0.8896096,0.024473189111470277
3000.0,0.003,1.1131296000000002,0.023861359383683525
3000.0,0.003,1.3366496,0.023249529655896765
3000.0,0.003,1.5601696,0.022535728306812216
3000.0,0.003,1.7792192,0.021821926957727666
3000.0,0.003,2.0027392,0.021006153987345323
3000.0,0.003,2.2262592000000003,0.02019038101696298
3000.0,0.003,2.4497792,0.019374608046580637
3000.0,0.003,2.6688288,0.018456863454900503
3000.0,0.003,2.8923487999999997,0.017539118863220366
3000.0,0.003,3.1158688,0.016621374271540233
3000.0,0.003,3.3393888,0.015601658058562303
3000.0,0.003,3.5629087999999998,0.014581941845584373
3000.0,0.003,3.7819584,0.013562225632606447
3000.0,0.003,4.0054784,0.012440537798330724
3000.0,0.003,4.2289984,0.011420821585352797
