RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.002,0.0,0.008055758082525634
1000.0,0.002,0.1385824,0.007953786461227842
1000.0,0.002,0.2771648,0.007953786461227842
1000.0,0.002,0.41574720000000004,0.007953786461227842
1000.0,0.002,0.5543296,0.007851814839930048
1000.0,0.002,0.6973824,0.007851814839930048
1000.0,0.002,0.8359648000000001,0.007851814839930048
1000.0,0.002,0.9745472000000001,0.007749843218632255
1000.0,0.002,1.1131296000000002,0.007647871597334462
1000.0,0.002,1.251712,0.007545899976036669
1000.0,0.002,1.3902944,0.007443928354738876
1000.0,0.002,1.5288768,0.007341956733441083
1000.0,0.002,1.6674592,0.007138013490845499
1000.0,0.002,1.810512,0.006934070248249913
1000.0,0.002,1.9490944000000001,0.0067301270056543275
1000.0,0.002,2.0876768,0.006424212141760948
1000.0,0.002,2.2262592000000003,0.006118297277867569
1000.0,0.002,2.3648416,0.0057104107926763984
1000.0,0.002,2.503424,0.005302524307485227
1000.0,0.002,2.6420064,0.004894637822294056
1000.0,0.002,2.7805888,0.004486751337102884
1000.0,0.002,2.9191712,0.004078864851911714
1000.0,0.002,3.0622239999999996,0.0035690067454227496
1000.0,0.002,3.2008064,0.0030591486389337846
1000.0,0.002,3.3393888,0.0026512621537426134
1000.0,0.002,3.4779712000000003,0.0021414040472536497
1000.0,0.001,3.6165536,0.0016315459407646854
1000.0,0.001,3.7551360000000003,0.001121687834275721
1000.0,0.001,3.8937184000000005,0.000611829727786757
1000.0,0.001,4.0323008,0.00010197162129779284
2000.0,0.007,0.0,0.032325003951400325
2000.0,0.007,0.2816352,0.032223032330102534
2000.0,0.007,0.5677408,0.032121060708804744
2000.0,0.007,0.8493759999999999,0.03201908908750695
2000.0,0.007,1.1354816,0.031917117466209156
2000.0,0.007,1.4171167999999998,0.03171317422361357
2000.0,0.008,1.6987519999999998,0.03150923098101798
2000.0,0.008,1.9848576000000002,0.0313052877384224
2000.0,0.008,2.2664928,0.031101344495826813
2000.0,0.008,2.5525984,0.03069345801063564
2000.0,0.008,2.8342335999999997,0.03028557152544447
2000.0,0.008,3.1203392,0.02967374179765771
2000.0,0.009,3.4019744000000003,0.02895994044857316
2000.0,0.009,3.6836096,0.028144167478190825
2000.0,0.009,3.9697152000000004,0.0270224796439151
2000.0,0.009,4.2513504,0.025798820188341585
2000.0,0.008,4.537456,0.024371217490172487
2000.0,0.008,4.8190912,0.022943614792003388
2000.0,0.008,5.1007264,0.0213120688512387
2000.0,0.008,5.386832,0.019578551289176224
2000.0,0.007,5.668467199999999,0.01774306210581595
2000.0,0.007,5.9545728,0.015907572922455683
2000.0,0.007,6.2362079999999995,0.014072083739095412
2000.0,0.006,6.5178432,0.012134622934437346
2000.0,0.006,6.803948800000001,0.01009519050848149
2000.0,0.005,7.085584,0.008157729703823427
2000.0,0.005,7.371689599999999,0.006118297277867569
2000.0,0.004,7.6533248,0.004078864851911714
2000.0,0.003,7.93496,0.0021414040472536497
2000.0,0.003,8.2210656,0.00010197162129779284
3000.0,0.014,0.0,0.07290970922792187
3000.0,0.014,0.43809919999999997,0.07270576598532628
3000.0,0.014,0.8806688,0.0725018227427307
