RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.0,0.0,0.0033650635028271638
1000.0,0.0,0.0536448,0.003263091881529371
1000.0,0.0,0.1028192,0.003263091881529371
1000.0,0.0,0.156464,0.0031611202602315775
1000.0,0.0,0.2056384,0.0031611202602315775
1000.0,0.0,0.2592832,0.0030591486389337846
1000.0,0.0,0.3084576,0.002957177017635992
1000.0,0.0,0.3621024,0.002957177017635992
1000.0,0.0,0.4112768,0.0028552053963381992
1000.0,0.0,0.4649216,0.0027532337750404063
1000.0,0.0,0.514096,0.0026512621537426134
1000.0,0.0,0.5677408,0.002549290532444821
1000.0,0.0,0.6169152,0.002549290532444821
1000.0,0.0,0.67056,0.002345347289849235
1000.0,0.0,0.7197344,0.002243375668551442
1000.0,0.0,0.7733791999999999,0.0021414040472536497
1000.0,0.0,0.8225536,0.002039432425955857
1000.0,0.0,0.8761983999999999,0.0019374608046580637
1000.0,0.0,0.9253727999999999,0.0018354891833602708
1000.0,0.0,0.9790175999999999,0.0016315459407646854
1000.0,0.0,1.028192,0.0015295743194668923
1000.0,0.0,1.0818368,0.0014276026981690996
1000.0,0.0,1.1310111999999999,0.001223659455573514
1000.0,0.0,1.184656,0.001121687834275721
1000.0,0.0,1.2338304,0.0009177445916801354
1000.0,0.0,1.2874752,0.0008157729703823427
1000.0,0.0,1.34112,0.000611829727786757
1000.0,0.0,1.3902944,0.00040788648519117136
1000.0,0.0,1.4439392,0.0003059148638933785
1000.0,0.0,1.4931135999999998,0.00010197162129779284
2000.0,0.002,0.0,0.013358282390010861
2000.0,0.002,0.1072896,0.013154339147415275
2000.0,0.002,0.21010879999999998,0.01295039590481969
2000.0,0.002,0.31739839999999997,0.012746452662224104
2000.0,0.002,0.42021759999999997,0.012542509419628518
2000.0,0.002,0.5275072,0.012236594555735138
2000.0,0.002,0.6303264,0.012032651313139553
2000.0,0.002,0.7376159999999999,0.011726736449246176
2000.0,0.002,0.8404351999999999,0.011420821585352797
2000.0,0.002,0.9477248,0.011012935100161625
2000.0,0.002,1.0550144,0.010707020236268247
2000.0,0.002,1.1578336,0.010299133751077076
2000.0,0.002,1.2651232000000001,0.009891247265885904
2000.0,0.002,1.3679424,0.009483360780694733
2000.0,0.002,1.4752319999999999,0.009075474295503561
2000.0,0.002,1.5780512,0.008565616189014599
2000.0,0.001,1.6853408,0.008055758082525634
2000.0,0.001,1.78816,0.007545899976036669
2000.0,0.001,1.8954496,0.007036041869547706
2000.0,0.001,2.0027392,0.006424212141760948
2000.0,0.001,2.1055584,0.005914354035271984
2000.0,0.001,2.212848,0.005302524307485227
2000.0,0.001,2.3156672,0.00469069457969847
2000.0,0.001,2.4229568,0.004078864851911714
2000.0,0.001,2.525776,0.0034670351241249567
2000.0,0.001,2.6330655999999997,0.0027532337750404063
2000.0,0.001,2.7358848,0.0021414040472536497
2000.0,0.001,2.8431744,0.0014276026981690996
2000.0,0.001,2.9504639999999998,0.0008157729703823427
2000.0,0.001,3.0532832,0.00010197162129779284
3000.0,0.004,0.0,0.030081628282848882
3000.0,0.004,0.156464,0.02967374179765771
3000.0,0.004,0.31739839999999997,0.02926585531246654
3000.0,0.004,0.4738624,0.028755997205977574
3000.0,0.004,0.6347967999999999,0.028246139099488615
3000.0,0.004,0.7912608,0.02763430937170186
3000.0,0.004,0.9521951999999999,0.0270224796439151
3000.0,0.004,1.1086592,0.026410649916128345
3000.0,0.004,1.2695935999999999,0.02569684856704379
3000.0,0.004,1.4260576,0.02488107559666145
3000.0,0.004,1.586992,0.024065302626279105
3000.0,0.004,1.743456,0.023249529655896765
3000.0,0.004,1.9043903999999998,0.02233178506421663
3000.0,0.003,2.0608544,0.0213120688512387
3000.0,0.003,2.2217887999999997,0.020292352638260774
3000.0,0.003,2.3782528000000003,0.019272636425282846
3000.0,0.003,2.5347168,0.018150948591007122
3000.0,0.003,2.6956512,0.01692728913543361
3000.0,0.003,2.8521152,0.015703629679860096
3000.0,0.003,3.0130496,0.01447997022428658
