RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.001,0.0,0.00540449592878302
1000.0,0.001,0.0625856,0.005302524307485227
1000.0,0.001,0.12070080000000001,0.005302524307485227
1000.0,0.001,0.1832864,0.005200552686187434
1000.0,0.001,0.245872,0.005098581064889642
1000.0,0.001,0.3039872,0.004996609443591849
1000.0,0.001,0.3665728,0.004894637822294056
1000.0,0.001,0.42468799999999995,0.004792666200996263
1000.0,0.001,0.48727360000000003,0.00469069457969847
1000.0,0.001,0.5498592,0.004588722958400677
1000.0,0.001,0.6079744,0.004486751337102884
1000.0,0.001,0.67056,0.0042828080945072995
1000.0,0.001,0.7331456,0.004180836473209507
1000.0,0.001,0.7912608,0.003976893230613921
1000.0,0.001,0.8538464,0.0037729499880183345
1000.0,0.001,0.9164319999999999,0.0035690067454227496
1000.0,0.001,0.9745472000000001,0.0033650635028271638
1000.0,0.001,1.0371328,0.0031611202602315775
1000.0,0.001,1.0997184,0.002957177017635992
1000.0,0.001,1.1578336,0.0027532337750404063
1000.0,0.001,1.2204192,0.002549290532444821
1000.0,0.001,1.2785343999999998,0.002243375668551442
1000.0,0.001,1.34112,0.002039432425955857
1000.0,0.001,1.4037056,0.0017335175620624783
1000.0,0.001,1.4618208,0.0015295743194668923
1000.0,0.0,1.5244064,0.001223659455573514
1000.0,0.0,1.586992,0.0010197162129779284
1000.0,0.0,1.6451072,0.0007138013490845498
1000.0,0.0,1.7076928,0.00040788648519117136
1000.0,0.0,1.7702784,0.00020394324259558568
2000.0,0.003,0.0,0.02161798371513208
2000.0,0.003,0.1251712,0.0213120688512387
2000.0,0.003,0.2503424,0.021108125608643113
2000.0,0.003,0.37104319999999996,0.020802210744749736
2000.0,0.003,0.49621440000000006,0.020394324259558567
2000.0,0.003,0.6213856,0.02008840939566519
2000.0,0.003,0.7465567999999999,0.019680522910474018
2000.0,0.003,0.8672576,0.019272636425282846
2000.0,0.003,0.9924288000000001,0.01876277831879388
2000.0,0.003,1.1176,0.018252920212304916
2000.0,0.003,1.2427712,0.01774306210581595
2000.0,0.003,1.3679424,0.017131232378029198
2000.0,0.003,1.4886432,0.01651940265024244
2000.0,0.003,1.6138143999999999,0.01580560130115789
2000.0,0.003,1.7389856000000001,0.015091799952073338
2000.0,0.003,1.8641568,0.014276026981690998
2000.0,0.003,1.9848576000000002,0.013460254011308655
2000.0,0.003,2.1100288,0.012542509419628518
2000.0,0.003,2.2352,0.011624764827948383
