RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.001,0.0,0.006016325656569776
1000.0,0.001,0.0625856,0.006016325656569776
1000.0,0.001,0.1251712,0.005914354035271984
1000.0,0.001,0.1877568,0.005812382413974191
1000.0,0.001,0.2503424,0.0057104107926763984
1000.0,0.001,0.312928,0.0056084391713786055
1000.0,0.001,0.3755136,0.005506467550080813
1000.0,0.001,0.43809919999999997,0.00540449592878302
1000.0,0.001,0.5051551999999999,0.005302524307485227
1000.0,0.001,0.5677408,0.005098581064889642
1000.0,0.001,0.6303264,0.004996609443591849
1000.0,0.001,0.692912,0.004792666200996263
1000.0,0.001,0.7554976,0.004588722958400677
1000.0,0.001,0.8180832,0.0043847797158050915
1000.0,0.001,0.8806688,0.004180836473209507
1000.0,0.001,0.9432543999999999,0.003976893230613921
1000.0,0.001,1.00584,0.0037729499880183345
1000.0,0.001,1.0684256,0.0035690067454227496
1000.0,0.001,1.1310111999999999,0.003263091881529371
1000.0,0.001,1.1935968,0.0030591486389337846
1000.0,0.001,1.2561824,0.0027532337750404063
1000.0,0.001,1.3187680000000002,0.002447318911147028
1000.0,0.001,1.3813536,0.002243375668551442
1000.0,0.001,1.4484096,0.0019374608046580637
1000.0,0.001,1.5109952,0.0016315459407646854
1000.0,0.001,1.5735808,0.0013256310768713067
1000.0,0.0,1.6361664,0.001121687834275721
1000.0,0.0,1.6987519999999998,0.0008157729703823427
1000.0,0.0,1.7613376,0.0005098581064889642
1000.0,0.0,1.8239232,0.00020394324259558568
2000.0,0.003,0.0,0.024269245868874693
2000.0,0.003,0.1296416,0.023963331004981315
2000.0,0.003,0.2592832,0.02375938776238573
2000.0,0.004,0.3889248,0.02335150127719456
2000.0,0.004,0.5185664,0.02304558641330118
2000.0,0.004,0.648208,0.02263769992811001
2000.0,0.004,0.7778496,0.022127841821621044
2000.0,0.004,0.9074911999999999,0.02161798371513208
2000.0,0.004,1.0371328,0.021108125608643113
2000.0,0.003,1.1667744,0.020394324259558567
2000.0,0.003,1.296416,0.01978249453177181
2000.0,0.003,1.4260576,0.01906869318268726
2000.0,0.003,1.5601696,0.018252920212304916
2000.0,0.003,1.6898111999999998,0.017437147241922576
2000.0,0.003,1.8194528,0.01651940265024244
2000.0,0.003,1.9490944000000001,0.015601658058562303
2000.0,0.003,2.078736,0.014581941845584373
2000.0,0.003,2.2083776,0.01366419725390424
2000.0,0.003,2.3380192,0.012542509419628518
2000.0,0.003,2.4676608,0.01152279320665059
2000.0,0.003,2.5973024,0.010401105372374868
2000.0,0.002,2.7269439999999996,0.009279417538099147
2000.0,0.002,2.8565856,0.008157729703823427
2000.0,0.002,2.9862271999999996,0.007036041869547706
2000.0,0.002,3.1158688,0.005812382413974191
2000.0,0.002,3.2455103999999997,0.004588722958400677
2000.0,0.002,3.375152,0.0033650635028271638
2000.0,0.001,3.5047935999999997,0.0021414040472536497
2000.0,0.001,3.6344352000000004,0.0008157729703823427
2000.0,,3.7640768,
3000.0,0.007,0.0,0.05465678901561696
3000.0,0.008,0.1922272,0.054146930909128
3000.0,0.008,0.3844544,0.053433129560043445
3000.0,0.008,0.5766816,0.05271932821095889
3000.0,0.008,0.7689088,0.05190355524057655
3000.0,0.008,0.961136,0.050985810648896415
3000.0,0.008,1.1533632,0.049966094435918484
3000.0,0.008,1.3455903999999999,0.04884440660164276
3000.0,0.008,1.5378176,0.04762074714606925
3000.0,0.008,1.7300448,0.04629511606919794
3000.0,0.008,1.922272,0.044765541749731054
3000.0,0.007,2.1144992,0.04313399580896637
3000.0,0.007,2.3067264,0.04140047824690389
3000.0,0.007,2.4989536,0.03956498906354362
3000.0,0.007,2.6911807999999997,0.03762752825888555
3000.0,0.007,2.8878784,0.0355880958329297
3000.0,0.007,3.0801056,0.03344669178567605
3000.0,0.006,3.2723328,0.031203316117124607
3000.0,0.006,3.46456,0.028857968827275367
3000.0,0.006,3.6567871999999997,0.02651262153742614
3000.0,0.006,3.8490143999999997,0.0241672742475769
3000.0,0.005,4.041241599999999,0.02161798371513208
3000.0,0.005,4.2334688,0.019170664803985053
3000.0,0.005,4.425696,0.01651940265024244
3000.0,0.004,4.6179232,0.013868140496499827
3000.0,0.004,4.8101503999999995,0.011216878342757211
3000.0,0.003,5.0023776,0.008463644567716805
3000.0,0.003,5.1946048,0.0057104107926763984
3000.0,0.003,5.386832,0.002957177017635992
3000.0,0.002,5.5790592,-0.00010197162129779284
4000.0,0.013,0.0,0.09738289833939215
4000.0,0.013,0.25481279999999995,0.09636318212641422
4000.0,0.013,0.514096,0.09513952267084072
4000.0,0.013,0.7689088,0.0939158632152672
4000.0,0.013,1.028192,0.0923862888958003
4000.0,0.013,1.2830048,0.09085671457633342
4000.0,0.013,1.542288,0.08902122539297314
4000.0,0.013,1.7971007999999997,0.08698179296701729
4000.0,0.013,2.056384,0.08484038891976363
4000.0,0.013,2.3111968,0.0823930700086166
4000.0,0.013,2.5660096,0.079741807854874
4000.0,0.013,2.8252928,0.07688660245853579
4000.0,0.013,3.0801056,0.07382745381960201
4000.0,0.013,3.3393888,0.07046239031677484
4000.0,0.012,3.5942015999999994,0.06699535519264989
4000.0,0.012,3.8534847999999995,0.06332437682592934
4000.0,0.012,4.108297599999999,0.05955142683791101
4000.0,0.011,4.3631104,0.0555745336072971
4000.0,0.011,4.6223936,0.05149566875538538
4000.0,0.01,4.8772064,0.047212860660878084
4000.0,0.01,5.1364896,0.04293005256637078
4000.0,0.009,5.3913024,0.03854527285056569
4000.0,0.009,5.6505856,0.03405852151346281
4000.0,0.008,5.9053984,0.029367826933764333
4000.0,0.007,6.1646816,0.024779103975363658
4000.0,0.007,6.4194944,0.019986437774367396
4000.0,0.006,6.674307199999999,0.015091799952073338
4000.0,0.005,6.9335904,0.010197162129779284
4000.0,0.004,7.188403199999999,0.005098581064889642
4000.0,0.003,7.4476864,-0.00020394324259558568
5000.0,0.02,0.0,0.15234560221890248
5000.0,0.02,0.3263392,0.1507140562781378
5000.0,0.02,0.6526784,0.14887856709477754
5000.0,0.02,0.9745472000000001,0.14683913466882167
5000.0,0.02,1.3008864,0.14449378737897245
5000.0,0.02,1.6272256,0.1419444968465276
5000.0,0.02,1.9535648,0.13908929145018942
5000.0,0.02,2.2799039999999997,0.13592817118995784
5000.0,0.02,2.6062432,0.1323591644445351
5000.0,0.02,2.928112,0.12848424283521898
5000.0,0.02,3.2544512,0.12420143474071166
5000.0,0.02,3.5807903999999997,0.11961271178231099
5000.0,0.02,3.9071296,0.11471807396001693
5000.0,0.019,4.2334688,0.1094155496525317
5000.0,0.019,4.559807999999999,0.1038071104811531
5000.0,0.018,4.8816768,0.0979947280671789
5000.0,0.018,5.208016,0.09177445916801355
5000.0,0.017,5.5343552,0.08545221864755038
5000.0,0.016,5.8606944,0.07892603488449165
5000.0,0.016,6.1870335999999995,0.07219590787883733
5000.0,0.015,6.5133728,0.0653638092518852
5000.0,0.014,6.8352416,0.0582257957610397
