Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,4602,0.23,3.64,83.74,0.03,
0,25.0,5695,0.36,5.46,125.65,0.05,
0,30.0,6772,0.5,7.56,173.77,0.07,
0,35.0,7820,0.67,10.11,232.58,0.09,
0,40.0,8854,0.86,12.9,296.74,0.12,
0,45.0,9872,1.08,15.92,366.25,0.14,
0,50.0,10870,1.31,19.29,443.78,0.18,
0,55.00000000000001,11852,1.56,22.9,526.65,0.21,
0,60.0,12821,1.84,26.73,614.87,0.24,
0,65.0,13767,2.13,30.92,711.11,0.28,
0,70.0,14699,2.43,35.33,812.7,0.32,
0,75.0,15617,2.76,39.98,919.63,0.36,
0,80.0,16513,3.1,44.98,1034.59,0.41,
0,85.0,17401,3.46,50.1,1152.21,0.46,
0,90.0,18268,3.84,55.56,1277.86,0.51,
0,95.0,0,0.0,0.0,0,0,
0,100.0,0,0.0,0.0,0,0,
0,Max Thrust,,4.0,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,5787,0.14,4.0,91.98,0.04,
10,30.0,6843,0.26,6.42,147.73,0.06,
10,35.0,7883,0.41,9.1,209.37,0.08,
10,40.0,8904,0.58,12.09,278.03,0.11,
10,45.0,9909,0.77,15.34,352.88,0.14,
10,50.0,10899,0.98,18.83,433.08,0.17,
10,55.00000000000001,11874,1.21,22.55,518.63,0.21,
10,60.0,12828,1.46,26.62,612.2,0.24,
10,65.0,13767,1.73,30.92,711.11,0.28,
10,70.0,14692,2.01,35.45,815.37,0.32,
10,75.0,15595,2.31,40.33,927.65,0.37,
10,80.0,16491,2.63,45.33,1042.61,0.41,
10,85.0,17365,2.97,50.68,1165.58,0.46,
10,90.0,18232,3.32,56.14,1291.23,0.51,
10,95.0,0,0.0,0.0,0,0,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,3.44,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,9258,0.14,6.41,147.34,0.06,
20,45.0,10248,0.31,9.9,227.65,0.09,
20,50.0,11222,0.49,13.64,313.69,0.12,
20,55.00000000000001,12171,0.7,17.78,409.02,0.16,
20,60.0,13117,0.93,21.97,505.26,0.2,
20,65.0,14035,1.17,26.62,612.2,0.24,
20,70.0,14945,1.44,31.38,721.8,0.29,
20,75.0,15841,1.72,36.38,836.76,0.33,
20,80.0,16715,2.02,41.73,959.73,0.38,
20,85.0,17582,2.34,47.19,1085.38,0.43,
20,90.0,18435,2.67,52.89,1216.37,0.48,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,2.97,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,13706,0.29,12.52,288.06,0.11,
30,65.0,14613,0.51,17.33,398.58,0.16,
30,70.0,15510,0.75,22.32,513.28,0.2,
30,75.0,16384,1.0,27.66,636.26,0.25,
30,80.0,17251,1.28,33.13,761.9,0.3,
30,85.0,18103,1.57,38.82,892.9,0.35,
30,90.0,18941,1.89,44.75,1029.24,0.41,
30,95.0,19758,2.22,51.03,1173.6,0.46,
30,100.0,20565,2.56,57.44,1321.21,0.52,
30,Max Thrust,,2.56,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,17215,0.22,14.32,329.34,0.13,
40,80.0,18067,0.46,20.03,460.71,0.18,
40,85.0,18905,0.73,25.95,596.79,0.24,
40,90.0,19730,1.02,32.08,737.84,0.29,
40,95.0,20532,1.32,38.59,887.55,0.35,
40,100.0,21327,1.64,45.21,1039.74,0.41,
40,Max Thrust,,1.64,,,,
