Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,3134,0.23,2.31,70.85,0.04,
0,25.0,3890,0.36,3.53,108.34,0.06,
0,30.0,4639,0.51,4.93,151.28,0.09,
0,35.0,5375,0.68,6.65,204.03,0.12,
0,40.0,6113,0.88,8.32,255.04,0.15,
0,45.0,6838,1.11,10.31,316.25,0.19,
0,50.0,7548,1.35,12.64,387.67,0.23,
0,55.00000000000001,8259,1.62,14.97,459.08,0.27,
0,60.0,8956,1.91,17.63,540.69,0.32,
0,65.0,9645,2.22,20.46,627.41,0.37,
0,70.0,10328,2.55,23.45,719.22,0.43,
0,75.0,11011,2.91,26.45,811.04,0.48,
0,80.0,11673,3.28,29.94,918.16,0.54,
0,85.0,12335,3.68,33.43,1025.27,0.61,
0,90.0,12990,4.09,37.09,1137.49,0.67,
0,95.0,13632,4.52,41.08,1259.91,0.75,
0,100.0,14273,4.98,45.08,1382.34,0.82,
0,Max Thrust,,4.98,,,,
10,20.0,3175,0.05,1.31,40.03,0.02,
10,25.0,3917,0.15,2.9,88.86,0.05,
10,30.0,4649,0.29,4.71,144.42,0.09,
10,35.0,5370,0.45,6.77,207.64,0.12,
10,40.0,6093,0.63,8.82,270.35,0.16,
10,45.0,6803,0.83,11.14,341.76,0.2,
10,50.0,7507,1.06,13.64,418.27,0.25,
10,55.00000000000001,8203,1.31,16.3,499.89,0.3,
10,60.0,8893,1.58,19.13,586.6,0.35,
10,65.0,9576,1.88,22.12,678.42,0.4,
10,70.0,10252,2.19,25.28,775.33,0.46,
10,75.0,10921,2.52,28.61,877.35,0.52,
10,80.0,11576,2.87,32.27,989.57,0.59,
10,85.0,12231,3.25,35.93,1101.79,0.65,
10,90.0,12880,3.64,39.75,1219.11,0.72,
10,95.0,13514,4.06,43.91,1346.63,0.8,
10,100.0,14142,4.48,48.24,1479.25,0.87,
10,Max Thrust,,4.48,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,6276,0.17,4.4,135.03,0.08,
20,45.0,6970,0.34,7.14,218.95,0.13,
20,50.0,7650,0.55,10.19,312.55,0.18,
20,55.00000000000001,8327,0.78,13.33,408.67,0.24,
20,60.0,8997,1.03,16.63,510.09,0.3,
20,65.0,9659,1.31,20.13,617.21,0.36,
20,70.0,10314,1.61,23.79,729.42,0.43,
20,75.0,10969,1.92,27.44,841.64,0.5,
20,80.0,11611,2.27,31.44,964.06,0.57,
20,85.0,12252,2.62,35.43,1086.48,0.64,
20,90.0,12880,2.99,39.75,1219.11,0.72,
20,95.0,13507,3.4,44.08,1351.73,0.8,
20,100.0,14121,3.8,48.74,1494.55,0.88,
20,Max Thrust,,3.8,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,9322,0.35,8.83,270.74,0.16,
30,65.0,9972,0.59,12.62,386.86,0.23,
30,70.0,10607,0.86,16.76,513.92,0.3,
30,75.0,11238,1.15,20.98,643.48,0.38,
30,80.0,11867,1.46,25.28,775.33,0.46,
30,85.0,12481,1.8,29.94,918.16,0.54,
30,90.0,13094,2.16,34.6,1060.98,0.63,
30,95.0,13701,2.54,39.42,1208.91,0.71,
30,100.0,14301,2.94,44.41,1361.93,0.81,
30,Max Thrust,,2.94,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,12318,0.58,14.43,442.41,0.26,
40,85.0,12927,0.87,19.21,589.03,0.35,
40,90.0,13523,1.2,24.29,744.8,0.44,
40,95.0,14116,1.55,29.45,903.21,0.53,
40,100.0,14695,1.92,34.93,1071.18,0.63,
40,Max Thrust,,1.92,,,,
