Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2382,0.1,0.96,21.99,0.02,
0,25.0,2970,0.16,1.39,31.89,0.03,
0,30.0,3552,0.23,1.97,45.24,0.04,
0,35.0,4131,0.3,2.59,59.54,0.05,
0,40.0,4708,0.39,3.29,75.64,0.06,
0,45.0,5277,0.49,4.16,95.57,0.08,
0,50.0,5852,0.61,4.88,112.34,0.09,
0,55.00000000000001,6411,0.73,6.01,138.14,0.11,
0,60.0,6980,0.86,6.9,158.6,0.13,
0,65.0,7539,1.01,8.01,184.18,0.15,
0,70.0,8098,1.17,9.12,209.77,0.17,
0,75.0,8648,1.34,10.45,240.46,0.19,
0,80.0,9199,1.52,11.79,271.16,0.21,
0,85.0,9739,1.71,13.35,306.97,0.24,
0,90.0,10289,1.91,14.68,337.67,0.27,
0,95.0,10830,2.12,16.24,373.48,0.29,
0,100.0,11362,2.34,18.02,414.41,0.33,
0,Max Thrust,,2.34,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,0,0.0,0.0,0,0,
10,30.0,0,0.0,0.0,0,0,
10,35.0,4190,0.03,1.19,27.27,0.02,
10,40.0,4762,0.09,1.99,45.85,0.04,
10,45.0,5331,0.17,2.86,65.87,0.05,
10,50.0,5899,0.25,3.76,86.55,0.07,
10,55.00000000000001,6458,0.36,4.87,112.05,0.09,
10,60.0,7018,0.47,5.98,137.54,0.11,
10,65.0,7570,0.59,7.28,167.33,0.13,
10,70.0,8128,0.73,8.41,193.5,0.15,
10,75.0,8676,0.87,9.79,225.11,0.18,
10,80.0,9226,1.03,11.12,255.81,0.2,
10,85.0,9767,1.2,12.68,291.63,0.23,
10,90.0,10308,1.38,14.24,327.44,0.26,
10,95.0,10849,1.56,15.79,363.25,0.29,
10,100.0,11380,1.76,17.57,404.18,0.32,
10,Max Thrust,,1.76,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,0,0.0,0.0,0,0,
20,45.0,0,0.0,0.0,0,0,
20,50.0,0,0.0,0.0,0,0,
20,55.00000000000001,0,0.0,0.0,0,0,
20,60.0,0,0.0,0.0,0,0,
20,65.0,0,0.0,0.0,0,0,
20,70.0,8326,0.1,3.66,84.18,0.07,
20,75.0,8873,0.21,5.06,116.44,0.09,
20,80.0,9415,0.34,6.59,151.58,0.12,
20,85.0,9954,0.47,8.18,188.13,0.15,
20,90.0,10487,0.63,9.92,228.14,0.18,
20,95.0,11021,0.78,11.65,268.01,0.21,
20,100.0,11551,0.96,13.47,309.75,0.24,
20,Max Thrust,,0.96,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,0,0.0,0.0,0,0,
30,65.0,0,0.0,0.0,0,0,
30,70.0,0,0.0,0.0,0,0,
30,75.0,0,0.0,0.0,0,0,
30,80.0,0,0.0,0.0,0,0,
30,85.0,0,0.0,0.0,0,0,
30,90.0,0,0.0,0.0,0,0,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,4.79,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,0,0.0,0.0,0,0,
40,85.0,0,0.0,0.0,0,0,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,0.0,,,,
