Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2360,0.16,1.51,34.62,0.03,
0,25.0,2935,0.23,2.23,51.25,0.04,
0,30.0,3502,0.34,3.15,72.39,0.06,
0,35.0,4068,0.45,4.1,94.27,0.07,
0,40.0,4628,0.59,5.21,119.76,0.09,
0,45.0,5180,0.73,6.48,149.08,0.12,
0,50.0,5730,0.9,7.81,179.74,0.14,
0,55.00000000000001,6273,1.08,9.34,214.88,0.17,
0,60.0,6804,1.27,11.12,255.81,0.2,
0,65.0,7345,1.48,12.68,291.63,0.23,
0,70.0,7867,1.7,14.68,337.67,0.27,
0,75.0,8389,1.94,16.68,383.72,0.3,
0,80.0,8912,2.19,18.69,429.76,0.34,
0,85.0,9425,2.46,20.91,480.93,0.38,
0,90.0,9938,2.74,23.13,532.09,0.42,
0,95.0,10441,3.04,25.58,588.37,0.46,
0,100.0,10945,3.34,28.03,644.65,0.51,
0,Max Thrust,,3.34,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,0,0.0,0.0,0,0,
10,30.0,0,0.0,0.0,0,0,
10,35.0,4155,0.05,2.03,46.59,0.04,
10,40.0,4709,0.14,3.25,74.85,0.06,
10,45.0,5261,0.25,4.54,104.43,0.08,
10,50.0,5804,0.38,6.04,138.93,0.11,
10,55.00000000000001,6347,0.53,7.56,173.97,0.14,
10,60.0,6880,0.68,9.28,213.55,0.17,
10,65.0,7414,0.87,11.01,253.14,0.2,
10,70.0,7939,1.05,12.94,297.69,0.23,
10,75.0,8463,1.26,14.9,342.79,0.27,
10,80.0,8976,1.47,17.13,393.95,0.31,
10,85.0,9489,1.72,19.35,445.11,0.35,
10,90.0,10002,1.96,21.58,496.27,0.39,
10,95.0,10506,2.23,24.02,552.55,0.44,
10,100.0,11001,2.49,26.69,613.95,0.48,
10,Max Thrust,,2.49,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,0,0.0,0.0,0,0,
20,45.0,0,0.0,0.0,0,0,
20,50.0,0,0.0,0.0,0,0,
20,55.00000000000001,0,0.0,0.0,0,0,
20,60.0,0,0.0,0.0,0,0,
20,65.0,0,0.0,0.0,0,0,
20,70.0,8214,0.15,6.33,145.6,0.11,
20,75.0,8734,0.32,8.4,193.26,0.15,
20,80.0,9246,0.5,10.66,245.15,0.19,
20,85.0,9757,0.7,12.93,297.45,0.23,
20,90.0,10261,0.91,15.37,353.46,0.28,
20,95.0,10761,1.14,17.9,411.73,0.32,
20,100.0,11254,1.38,20.6,473.74,0.37,
20,Max Thrust,,1.38,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,0,0.0,0.0,0,0,
30,65.0,0,0.0,0.0,0,0,
30,70.0,0,0.0,0.0,0,0,
30,75.0,0,0.0,0.0,0,0,
30,80.0,0,0.0,0.0,0,0,
30,85.0,0,0.0,0.0,0,0,
30,90.0,0,0.0,0.0,0,0,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,5.31,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,0,0.0,0.0,0,0,
40,85.0,0,0.0,0.0,0,0,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,0.0,,,,
