Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2226,0.4,4.72,108.54,0.09,
0,25.0,2739,0.6,6.93,159.43,0.13,
0,30.0,3241,0.84,9.44,217.17,0.17,
0,35.0,3727,1.11,12.3,282.8,0.22,
0,40.0,4206,1.41,15.35,352.99,0.28,
0,45.0,4669,1.74,18.78,431.96,0.34,
0,50.0,5121,2.09,22.47,516.77,0.41,
0,55.00000000000001,5560,2.48,26.47,608.83,0.48,
0,60.0,5999,2.87,30.47,700.92,0.55,
0,65.0,6419,3.32,34.92,803.25,0.63,
0,70.0,6831,3.77,39.6,910.69,0.72,
0,75.0,7242,4.25,44.27,1018.13,0.8,
0,80.0,7635,4.75,49.38,1135.8,0.9,
0,85.0,8027,5.25,54.5,1253.48,0.99,
0,90.0,8402,5.8,60.06,1381.38,1.09,
0,95.0,8776,6.35,65.62,1509.29,1.19,
0,100.0,9141,6.92,71.4,1642.31,1.29,
0,Max Thrust,,6.92,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,0,0.0,0.0,0,0,
10,30.0,3381,0.2,6.07,139.65,0.11,
10,35.0,3857,0.39,9.19,211.4,0.17,
10,40.0,4316,0.63,12.71,292.25,0.23,
10,45.0,4772,0.89,16.29,374.62,0.3,
10,50.0,5217,1.19,20.17,463.83,0.37,
10,55.00000000000001,5649,1.51,24.34,559.81,0.44,
10,60.0,6078,1.85,28.57,657.13,0.52,
10,65.0,6484,2.22,33.37,767.43,0.61,
10,70.0,6895,2.6,38.04,874.88,0.69,
10,75.0,7297,3.03,42.93,987.43,0.78,
10,80.0,7690,3.47,48.05,1105.11,0.87,
10,85.0,8074,3.91,53.39,1227.9,0.97,
10,90.0,8448,4.4,58.95,1355.8,1.07,
10,95.0,8813,4.88,64.73,1488.82,1.17,
10,100.0,9178,5.4,70.52,1621.85,1.28,
10,Max Thrust,,5.4,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,0,0.0,0.0,0,0,
20,45.0,0,0.0,0.0,0,0,
20,50.0,0,0.0,0.0,0,0,
20,55.00000000000001,6121,0.3,12.99,298.88,0.24,
20,60.0,6525,0.59,17.82,409.83,0.32,
20,65.0,6927,0.88,22.73,522.77,0.41,
20,70.0,7316,1.22,27.93,642.43,0.51,
20,75.0,7699,1.58,33.27,765.28,0.6,
20,80.0,8077,1.94,38.74,891.05,0.7,
20,85.0,8444,2.36,44.48,1023.04,0.81,
20,90.0,8809,2.77,50.27,1156.27,0.91,
20,95.0,9164,3.2,56.28,1294.41,1.02,
20,100.0,9520,3.68,62.28,1432.55,1.13,
20,Max Thrust,,3.68,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,0,0.0,0.0,0,0,
30,65.0,0,0.0,0.0,0,0,
30,70.0,0,0.0,0.0,0,0,
30,75.0,0,0.0,0.0,0,0,
30,80.0,0,0.0,0.0,0,0,
30,85.0,9195,0.69,26.44,608.15,0.48,
30,90.0,9541,1.06,32.68,751.59,0.59,
30,95.0,9884,1.43,38.99,896.73,0.71,
30,100.0,10216,1.84,45.56,1047.95,0.83,
30,Max Thrust,,1.84,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,0,0.0,0.0,0,0,
40,85.0,0,0.0,0.0,0,0,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,3.52,,,,
