Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2292,0.24,3.16,72.67,0.06,
0,25.0,2819,0.36,4.61,105.97,0.08,
0,30.0,3327,0.5,6.33,145.61,0.11,
0,35.0,3823,0.66,8.24,189.41,0.14,
0,40.0,4301,0.84,10.39,239.08,0.18,
0,45.0,4776,1.03,12.6,289.83,0.22,
0,50.0,5230,1.23,15.1,347.35,0.26,
0,55.00000000000001,5677,1.46,17.7,407.09,0.31,
0,60.0,6118,1.69,20.39,469.03,0.36,
0,65.0,6546,1.94,23.28,535.41,0.41,
0,70.0,6967,2.19,26.26,603.99,0.46,
0,75.0,7375,2.46,29.43,677.0,0.51,
0,80.0,7782,2.74,32.61,750.01,0.57,
0,85.0,8177,3.03,35.98,827.45,0.63,
0,90.0,8564,3.33,39.44,907.09,0.69,
0,95.0,8945,3.63,43.0,988.95,0.75,
0,100.0,9320,3.95,46.65,1073.03,0.82,
0,Max Thrust,,3.95,,,,
10,20.0,2352,0.08,2.29,52.63,0.04,
10,25.0,2833,0.18,4.41,101.43,0.08,
10,30.0,3299,0.3,6.74,155.01,0.12,
10,35.0,3756,0.45,9.2,211.69,0.16,
10,40.0,4204,0.6,11.79,271.22,0.21,
10,45.0,4649,0.78,14.43,331.86,0.25,
10,50.0,5090,0.97,17.12,393.81,0.3,
10,55.00000000000001,5511,1.17,20.1,462.4,0.35,
10,60.0,5938,1.38,22.99,528.77,0.4,
10,65.0,6346,1.61,26.16,601.78,0.46,
10,70.0,6754,1.85,29.34,674.79,0.51,
10,75.0,7155,2.1,32.61,750.01,0.57,
10,80.0,7542,2.36,36.07,829.66,0.63,
10,85.0,7930,2.62,39.54,909.31,0.69,
10,90.0,8304,2.9,43.19,993.38,0.76,
10,95.0,8679,3.19,46.85,1077.45,0.82,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,3.27,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,4149,0.07,3.53,81.15,0.06,
20,40.0,4551,0.21,6.79,156.2,0.12,
20,45.0,4955,0.35,10.01,230.27,0.18,
20,50.0,5332,0.53,13.62,313.37,0.24,
20,55.00000000000001,5711,0.72,17.21,395.91,0.3,
20,60.0,6085,0.91,20.87,480.1,0.37,
20,65.0,6453,1.12,24.63,566.38,0.43,
20,70.0,6820,1.34,28.38,652.67,0.5,
20,75.0,7175,1.57,32.32,743.37,0.57,
20,80.0,7529,1.81,36.26,834.08,0.63,
20,85.0,7890,2.06,40.11,922.58,0.7,
20,90.0,8231,2.32,44.25,1017.72,0.77,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,2.57,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,6323,0.2,8.39,193.03,0.15,
30,60.0,6666,0.37,12.49,287.28,0.22,
30,65.0,7013,0.55,16.55,380.56,0.29,
30,70.0,7335,0.76,20.95,481.9,0.37,
30,75.0,7655,0.97,25.39,584.08,0.44,
30,80.0,7982,1.18,29.72,683.64,0.52,
30,85.0,8290,1.42,34.34,789.84,0.6,
30,90.0,8598,1.66,38.96,896.03,0.68,
30,95.0,8905,1.9,43.58,1002.23,0.76,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,2.14,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,8129,0.16,9.49,218.32,0.17,
40,75.0,8428,0.36,14.24,327.44,0.25,
40,80.0,8729,0.55,18.96,436.01,0.33,
40,85.0,9027,0.75,23.7,545.13,0.41,
40,90.0,9309,0.98,28.7,660.1,0.5,
40,95.0,9592,1.21,33.67,774.35,0.59,
40,100.0,9873,1.44,38.67,889.39,0.68,
40,Max Thrust,,1.44,,,,
