Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,4630,0.11,3.05,70.11,0.03,
0,25.0,5740,0.17,4.53,104.26,0.04,
0,30.0,6826,0.24,6.39,147.03,0.06,
0,35.0,7897,0.33,8.48,195.15,0.08,
0,40.0,8960,0.42,10.69,245.95,0.1,
0,45.0,9993,0.52,13.37,307.43,0.12,
0,50.0,11019,0.64,16.16,371.6,0.15,
0,55.00000000000001,12029,0.76,19.18,441.1,0.17,
0,60.0,13024,0.89,22.43,515.96,0.2,
0,65.0,14004,1.03,25.92,596.16,0.24,
0,70.0,14969,1.18,29.64,681.7,0.27,
0,75.0,15919,1.33,33.59,772.6,0.31,
0,80.0,16861,1.49,37.66,866.16,0.34,
0,85.0,17789,1.66,41.96,965.08,0.38,
0,90.0,18708,1.84,46.38,1066.67,0.42,
0,95.0,19605,2.02,51.14,1176.27,0.47,
0,100.0,20494,2.21,56.02,1288.55,0.51,
0,Max Thrust,,2.21,,,,
10,20.0,4579,0.11,3.83,88.14,0.03,
10,25.0,5679,0.17,5.46,125.65,0.05,
10,30.0,6773,0.24,7.21,165.75,0.07,
10,35.0,7836,0.32,9.41,216.54,0.09,
10,40.0,8900,0.42,11.62,267.33,0.11,
10,45.0,9933,0.52,14.3,328.82,0.13,
10,50.0,10958,0.63,17.09,392.98,0.16,
10,55.00000000000001,11968,0.75,20.11,462.49,0.18,
10,60.0,12956,0.88,23.48,540.02,0.21,
10,65.0,13944,1.02,26.85,617.54,0.24,
10,70.0,14901,1.16,30.69,705.76,0.28,
10,75.0,15859,1.32,34.52,793.98,0.31,
10,80.0,16793,1.48,38.71,890.22,0.35,
10,85.0,17728,1.65,42.89,986.46,0.39,
10,90.0,18640,1.82,47.42,1090.73,0.43,
10,95.0,19544,2.0,52.07,1197.66,0.47,
10,100.0,20434,2.19,56.95,1309.94,0.52,
10,Max Thrust,,2.19,,,,
20,20.0,4652,0.05,2.7,62.17,0.02,
20,25.0,5668,0.12,5.64,129.73,0.05,
20,30.0,6683,0.21,8.59,197.49,0.08,
20,35.0,7723,0.3,11.16,256.64,0.1,
20,40.0,8756,0.4,13.83,318.13,0.13,
20,45.0,9781,0.5,16.62,382.29,0.15,
20,50.0,10807,0.62,19.41,446.45,0.18,
20,55.00000000000001,11810,0.74,22.55,518.63,0.21,
20,60.0,12805,0.87,25.8,593.48,0.23,
20,65.0,13785,1.0,29.29,673.68,0.27,
20,70.0,14757,1.15,32.89,756.56,0.3,
20,75.0,15707,1.3,36.85,847.45,0.34,
20,80.0,16650,1.46,40.91,941.02,0.37,
20,85.0,17577,1.63,45.21,1039.93,0.41,
20,90.0,18496,1.81,49.63,1141.52,0.45,
20,95.0,19401,1.99,54.28,1248.45,0.49,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,2.13,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,6889,0.1,5.43,124.92,0.05,
30,35.0,7826,0.2,9.58,220.3,0.09,
30,40.0,8762,0.31,13.74,315.93,0.12,
30,45.0,9706,0.43,17.78,409.02,0.16,
30,50.0,10663,0.56,21.62,497.24,0.2,
30,55.00000000000001,11628,0.69,25.34,582.79,0.23,
30,60.0,12601,0.83,28.94,665.66,0.26,
30,65.0,13566,0.97,32.66,751.21,0.3,
30,70.0,14523,1.12,36.5,839.43,0.33,
30,75.0,15473,1.27,40.45,930.32,0.37,
30,80.0,16415,1.43,44.52,1023.89,0.41,
30,85.0,17342,1.6,48.82,1122.81,0.44,
30,90.0,18262,1.78,53.23,1224.39,0.48,
30,95.0,19166,1.96,57.88,1331.33,0.53,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,1.96,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,8175,0.05,4.22,97.0,0.04,
40,40.0,9072,0.16,8.98,206.44,0.08,
40,45.0,9951,0.28,14.02,322.44,0.13,
40,50.0,10814,0.42,19.29,443.78,0.18,
40,55.00000000000001,11681,0.56,24.53,564.08,0.22,
40,60.0,12555,0.71,29.64,681.7,0.27,
40,65.0,13445,0.87,34.52,793.98,0.31,
40,70.0,14341,1.03,39.29,903.59,0.36,
40,75.0,15253,1.19,43.82,1007.85,0.4,
40,80.0,16158,1.36,48.47,1114.79,0.44,
40,85.0,17062,1.54,53.12,1221.72,0.48,
40,90.0,17974,1.72,57.65,1325.98,0.52,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,1.73,,,,
