Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2303,0.26,3.0,68.93,0.05,
0,25.0,2837,0.39,4.34,99.92,0.08,
0,30.0,3352,0.54,5.97,137.39,0.1,
0,35.0,3856,0.71,7.75,178.27,0.14,
0,40.0,4343,0.91,9.78,225.01,0.17,
0,45.0,4822,1.12,11.93,274.34,0.21,
0,50.0,5290,1.35,14.24,327.44,0.25,
0,55.00000000000001,5744,1.59,16.74,384.96,0.29,
0,60.0,6192,1.85,19.33,444.7,0.34,
0,65.0,6626,2.13,22.12,508.86,0.39,
0,70.0,7060,2.41,24.91,573.02,0.44,
0,75.0,7475,2.72,27.99,643.82,0.49,
0,80.0,7889,3.03,31.07,714.61,0.54,
0,85.0,8283,3.35,34.44,792.05,0.6,
0,90.0,8678,3.69,37.8,869.48,0.66,
0,95.0,9072,4.03,41.17,946.92,0.72,
0,100.0,9446,4.4,44.83,1030.99,0.78,
0,Max Thrust,,4.4,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,0,0.0,0.0,0,0,
10,30.0,3454,0.19,4.5,103.4,0.08,
10,35.0,3936,0.32,6.61,151.98,0.12,
10,40.0,4398,0.49,9.0,206.99,0.16,
10,45.0,4858,0.66,11.41,262.46,0.2,
10,50.0,5298,0.86,14.12,324.65,0.25,
10,55.00000000000001,5737,1.07,16.83,387.17,0.29,
10,60.0,6172,1.3,19.62,451.33,0.34,
10,65.0,6593,1.54,22.61,519.92,0.4,
10,70.0,7014,1.79,25.59,588.51,0.45,
10,75.0,7415,2.07,28.86,663.73,0.5,
10,80.0,7816,2.34,32.13,738.95,0.56,
10,85.0,8203,2.63,35.59,818.6,0.62,
10,90.0,8591,2.94,39.05,898.24,0.68,
10,95.0,8972,3.25,42.61,980.1,0.75,
10,100.0,9340,3.58,46.36,1066.39,0.81,
10,Max Thrust,,3.58,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,0,0.0,0.0,0,0,
20,45.0,0,0.0,0.0,0,0,
20,50.0,0,0.0,0.0,0,0,
20,55.00000000000001,6190,0.37,10.3,236.93,0.18,
20,60.0,6589,0.57,13.6,312.75,0.24,
20,65.0,6991,0.77,16.86,387.74,0.29,
20,70.0,7369,1.0,20.47,470.78,0.36,
20,75.0,7755,1.24,23.95,550.89,0.42,
20,80.0,8129,1.48,27.61,634.97,0.48,
20,85.0,8490,1.75,31.45,723.46,0.55,
20,90.0,8858,2.02,35.21,809.75,0.62,
20,95.0,9212,2.31,39.15,900.46,0.68,
20,100.0,9560,2.6,43.19,993.38,0.76,
20,Max Thrust,,2.6,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,0,0.0,0.0,0,0,
30,65.0,0,0.0,0.0,0,0,
30,70.0,8142,0.15,9.31,214.13,0.16,
30,75.0,8502,0.35,13.17,302.98,0.23,
30,80.0,8860,0.56,17.07,392.55,0.3,
30,85.0,9204,0.79,21.15,486.53,0.37,
30,90.0,9540,1.04,25.36,583.35,0.44,
30,95.0,9879,1.28,29.53,679.21,0.52,
30,100.0,10206,1.55,33.86,778.77,0.59,
30,Max Thrust,,1.55,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,0,0.0,0.0,0,0,
40,85.0,0,0.0,0.0,0,0,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,11184,0.5,19.76,454.48,0.35,
40,Max Thrust,,0.5,,,,
