Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,4624,0.18,3.14,72.11,0.03,
0,25.0,5732,0.28,4.65,106.93,0.04,
0,30.0,6826,0.39,6.39,147.03,0.06,
0,35.0,7897,0.52,8.48,195.15,0.08,
0,40.0,8960,0.67,10.69,245.95,0.1,
0,45.0,9993,0.84,13.37,307.43,0.12,
0,50.0,11019,1.02,16.16,371.6,0.15,
0,55.00000000000001,12029,1.22,19.18,441.1,0.17,
0,60.0,13024,1.44,22.43,515.96,0.2,
0,65.0,14004,1.66,25.92,596.16,0.24,
0,70.0,14969,1.91,29.64,681.7,0.27,
0,75.0,15927,2.16,33.47,769.92,0.3,
0,80.0,16861,2.43,37.66,866.16,0.34,
0,85.0,17781,2.71,42.08,967.75,0.38,
0,90.0,18693,3.01,46.61,1072.01,0.42,
0,95.0,19597,3.32,51.26,1178.95,0.47,
0,100.0,20479,3.64,56.26,1293.9,0.51,
0,Max Thrust,,3.64,,,,
10,20.0,4662,0.08,2.55,58.65,0.02,
10,25.0,5741,0.17,4.51,103.78,0.04,
10,30.0,6800,0.27,6.79,156.15,0.06,
10,35.0,7859,0.4,9.07,208.52,0.08,
10,40.0,8892,0.54,11.74,270.01,0.11,
10,45.0,9910,0.69,14.65,336.84,0.13,
10,50.0,10920,0.87,17.67,406.35,0.16,
10,55.00000000000001,11916,1.06,20.92,481.2,0.19,
10,60.0,12896,1.26,24.41,561.4,0.22,
10,65.0,13861,1.48,28.13,646.95,0.26,
10,70.0,14810,1.71,32.08,737.84,0.29,
10,75.0,15753,1.95,36.15,831.41,0.33,
10,80.0,16680,2.21,40.45,930.32,0.37,
10,85.0,17592,2.48,44.98,1034.59,0.41,
10,90.0,18489,2.76,49.75,1144.19,0.45,
10,95.0,19378,3.06,54.63,1256.47,0.5,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,3.26,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,7068,0.05,2.68,61.53,0.02,
20,35.0,8089,0.15,5.53,127.27,0.05,
20,40.0,9086,0.28,8.75,201.3,0.08,
20,45.0,10069,0.43,12.2,280.7,0.11,
20,50.0,11041,0.59,15.81,363.58,0.14,
20,55.00000000000001,12006,0.78,19.53,449.12,0.18,
20,60.0,12956,0.97,23.48,540.02,0.21,
20,65.0,13891,1.18,27.66,636.26,0.25,
20,70.0,14818,1.4,31.96,735.17,0.29,
20,75.0,15738,1.64,36.38,836.76,0.33,
20,80.0,16634,1.89,41.15,946.36,0.37,
20,85.0,17531,2.15,45.91,1055.97,0.42,
20,90.0,18406,2.42,51.03,1173.6,0.46,
20,95.0,19280,2.71,56.14,1291.23,0.51,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,2.81,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,10521,0.1,5.26,121.03,0.05,
30,50.0,11473,0.24,9.18,211.13,0.08,
30,55.00000000000001,12404,0.4,13.42,308.71,0.12,
30,60.0,13319,0.58,17.9,411.7,0.16,
30,65.0,14224,0.78,22.55,518.63,0.21,
30,70.0,15121,0.99,27.31,628.24,0.25,
30,75.0,16002,1.22,32.31,743.19,0.29,
30,80.0,16869,1.46,37.54,863.49,0.34,
30,85.0,17736,1.71,42.77,983.79,0.39,
30,90.0,18580,1.98,48.35,1112.11,0.44,
30,95.0,19423,2.26,53.93,1240.43,0.49,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,2.45,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,14823,0.33,13.33,306.62,0.12,
40,70.0,15696,0.52,18.47,424.9,0.17,
40,75.0,16554,0.74,23.83,548.04,0.22,
40,80.0,17398,0.96,29.41,676.36,0.27,
40,85.0,18235,1.2,35.1,807.35,0.32,
40,90.0,19048,1.45,41.15,946.36,0.37,
40,95.0,19862,1.72,47.19,1085.38,0.43,
40,100.0,20661,2.0,53.47,1229.74,0.49,
40,Max Thrust,,2.0,,,,
