Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,4454,0.33,5.75,132.21,0.05,
0,30.0,6478,0.69,11.74,270.01,0.11,
0,40.0,8393,1.16,19.41,446.45,0.18,
0,50.0,10209,1.72,28.59,657.64,0.26,
0,60.0,11950,2.37,38.94,895.57,0.35,
0,70.0,13600,3.1,50.68,1165.58,0.46,
0,80.0,14529,3.55,57.91,1332.0,0.53,
0,90.0,14529,3.55,57.91,1332.0,0.53,
0,100.0,14529,3.55,57.91,1332.0,0.53,
0,Max Thrust,,3.55,,,,
10,20.0,4528,0.14,4.62,106.15,0.04,
10,30.0,6482,0.45,11.68,268.67,0.11,
10,40.0,8340,0.87,20.22,465.16,0.18,
10,50.0,10119,1.38,29.99,689.72,0.27,
10,60.0,11822,1.99,40.91,941.02,0.37,
10,70.0,13441,2.66,53.12,1221.72,0.48,
10,80.0,14058,2.94,57.91,1332.0,0.53,
10,90.0,14058,2.94,57.91,1332.0,0.53,
10,100.0,14058,2.94,57.91,1332.0,0.53,
10,Max Thrust,,2.93,,,,
20,20.0,7000,0.0,0.0,0,0,
20,30.0,14299,2.44,57.91,1332.0,0.53,
20,40.0,8677,0.45,15.05,346.15,0.14,
20,50.0,10368,0.92,26.15,601.5,0.24,
20,60.0,11996,1.47,38.24,879.53,0.35,
20,70.0,13555,2.11,51.37,1181.62,0.47,
20,80.0,14299,2.44,57.91,1332.0,0.53,
20,90.0,14299,2.44,57.91,1332.0,0.53,
20,100.0,14299,2.44,57.91,1332.0,0.53,
20,Max Thrust,,2.43,,,,
30,20.0,10000,0.0,0.0,0,0,
30,30.0,10000,0.0,0.0,0,0,
30,40.0,10000,0.0,0.0,0,0,
30,50.0,11020,0.38,16.13,370.95,0.15,
30,60.0,12570,0.88,29.41,676.36,0.27,
30,70.0,14069,1.46,43.47,999.83,0.4,
30,80.0,15444,2.09,57.91,1332.0,0.53,
30,90.0,15444,2.09,57.91,1332.0,0.53,
30,100.0,15444,2.09,57.91,1332.0,0.53,
30,Max Thrust,,2.09,,,,
40,20.0,13000,0.0,0.0,0,0,
40,30.0,13000,0.0,0.0,0,0,
40,40.0,13000,0.0,0.0,0,0,
40,50.0,13000,0.0,0.0,0,0,
40,60.0,13476,0.26,15.49,356.33,0.14,
40,70.0,14916,0.78,30.45,700.42,0.28,
40,80.0,16287,1.38,46.49,1069.34,0.42,
40,90.0,17209,1.84,57.91,1332.0,0.53,
40,100.0,17209,1.84,57.91,1332.0,0.53,
40,Max Thrust,,1.84,,,,
